physical_scenario_id,training_months,utilization_target,mean,sd,n,method
T6_CLUSTERED,12,0.55,0.9461531821890232,1.442377770270542,200,GATE
T6_CLUSTERED,12,0.55,1.3454918505660571,1.7036773364880275,200,EMP
T6_CLUSTERED,12,0.55,0.9246933992023042,1.4019530960616249,200,KDE
T6_CLUSTERED,12,0.55,1.8258657695769176,2.5836188468154617,200,TAIL
T6_CLUSTERED,12,0.55,1.8531218174159143,2.669511616689572,200,TAIL-NODECLUSTER
T6_CLUSTERED,12,0.65,2.557155814860765,6.377775776712369,200,GATE
T6_CLUSTERED,12,0.65,2.4390831126951493,6.387682888296845,200,EMP
T6_CLUSTERED,12,0.65,0.948851635797675,4.158313123293412,200,KDE
T6_CLUSTERED,12,0.65,2.654945325524732,6.4873679030409725,200,TAIL
T6_CLUSTERED,12,0.65,2.391274552939279,6.227127376308532,200,TAIL-NODECLUSTER
T6_CLUSTERED,12,0.75,0.0,0.0,200,GATE
T6_CLUSTERED,12,0.75,0.0,0.0,200,EMP
T6_CLUSTERED,12,0.75,0.0,0.0,200,KDE
T6_CLUSTERED,12,0.75,0.0,0.0,200,TAIL
T6_CLUSTERED,12,0.75,0.0,0.0,200,TAIL-NODECLUSTER
T6_CLUSTERED,24,0.5,0.4186141826806813,0.5701376686970325,200,GATE
T6_CLUSTERED,24,0.5,0.7447492428762343,1.0183119942958117,200,EMP
T6_CLUSTERED,24,0.5,0.5002577679064731,0.6978361468215697,200,KDE
T6_CLUSTERED,24,0.5,1.1484720176375482,1.965950343221737,200,TAIL
T6_CLUSTERED,24,0.5,1.1470903374249424,1.9558009644769625,200,TAIL-NODECLUSTER
T6_CLUSTERED,24,0.55,0.4604756009487496,0.6271514355667361,200,GATE
T6_CLUSTERED,24,0.55,0.8192241671638582,1.1201431937253932,200,EMP
T6_CLUSTERED,24,0.55,0.5502835446971206,0.7676197615037271,200,KDE
T6_CLUSTERED,24,0.55,1.2633192194013034,2.162545377543911,200,TAIL
T6_CLUSTERED,24,0.55,1.2617993711674371,2.1513810609246584,200,TAIL-NODECLUSTER
T6_CLUSTERED,24,0.65,0.3580319679335491,2.5151742506311705,200,GATE
T6_CLUSTERED,24,0.65,0.8431733699712501,3.934354572446758,200,EMP
T6_CLUSTERED,24,0.65,0.1816716959287204,1.8185101462287432,200,KDE
T6_CLUSTERED,24,0.65,0.3580319679335491,2.5151742506311705,200,TAIL
T6_CLUSTERED,24,0.65,0.4459653608334721,2.794840937754344,200,TAIL-NODECLUSTER
T6_CLUSTERED,24,0.75,0.0,0.0,200,GATE
T6_CLUSTERED,24,0.75,0.0,0.0,200,EMP
T6_CLUSTERED,24,0.75,0.0,0.0,200,KDE
T6_CLUSTERED,24,0.75,0.0,0.0,200,TAIL
T6_CLUSTERED,24,0.75,0.0,0.0,200,TAIL-NODECLUSTER
