replication_id,method,regret_cny_per_month,abs_q99_relative_error,abs_mean_relative_error,abs_stoploss_relative_error,mode_value_gap_ratio
0,EMP,10944.378384675623,0.0692035894194134,0.0139673800631221,0.2043955441538293,15.112931358264213
0,KDE,5832.254663819447,0.0242731508193681,0.0113268391559071,0.0096898682951483,5.603905040740236
0,TAIL,3579.118245585408,0.0750165167149684,0.0056737876625643,0.1238158742487066,8.319425911488338
1,EMP,14268.123601725323,0.0624907917457112,0.0256931399667715,0.5946681100981411,39.90584970021186
1,KDE,14268.123601725323,0.1574582565041982,0.0245695956947607,0.8710081692392131,58.76450719342469
1,TAIL,14268.123601725323,0.3852720993057156,0.0797017096913477,0.9974172568566166,66.4987271642213
2,EMP,68495.00498294095,0.3693066144788656,0.095323022693462,0.8491105893458557,60.15444775844768
2,KDE,76160.5964272458,0.3361581448229148,0.0957040187032481,0.787227364823243,56.09372297704975
2,TAIL,95793.86032429471,0.3145705105259363,0.0975795267124114,0.8176849856445079,59.72824136228505
3,EMP,14268.123601725323,0.3229242056798031,0.0818071188212259,0.9567011534171764,62.689432455406646
3,KDE,14268.123601725323,0.3864121270191434,0.0751884519620146,1.2610961083033212,83.27534718975039
3,TAIL,14268.123601725323,0.1909932572864736,0.0630700227309577,0.6525933187465164,43.498057629633216
4,EMP,10326.155083206895,0.2931113517323609,0.0236530165616158,0.5966587774857549,43.32874895276554
4,KDE,10094.825114509194,0.2682504112923112,0.0213477578099627,0.5081954747105185,36.22945290853286
4,TAIL,9245.210548175604,0.2358566787125555,0.0390067628279778,0.539756680062018,37.38887456970893
5,EMP,11101.291952588388,0.1049048256885836,0.0152348089964018,0.2769632927200798,20.01633160862262
5,KDE,8454.07339963886,0.0615388671557373,0.0116198067088957,0.1024781794610412,7.349095247736874
5,TAIL,3784.403664797752,0.1100306628081328,0.0045360870761899,0.1999550832055961,13.674666446053603
6,EMP,8285.463297147719,0.0060654491409442,0.0097111522696164,0.126043188010404,9.008497004988344
6,KDE,18901.417319684188,0.0565386267430221,0.0090515204803334,0.0937785735820817,6.138920938124704
6,TAIL,14268.123601725323,0.0739534385166439,0.0279149857225389,0.2727056490867078,18.38265569500797
7,EMP,9995.367910244087,0.0693167458460071,0.0160833780340632,0.0515749015158502,7.957182228566678
7,KDE,14268.123601725323,0.028564778239076,0.0186360404983886,0.2152832157201843,14.1793415213097
7,TAIL,14268.123601725323,0.0987958924807772,0.0485622390456592,0.4179982548713684,27.78698257350888
8,EMP,9276.338045563964,0.0309836507377356,0.0101564039681351,0.0916807334814383,6.92625736707733
8,KDE,9482.918614325215,0.0141172800568491,0.0067288212545371,0.1503693225776392,10.213512791756552
8,TAIL,8809.214832894608,0.0770041470265701,0.0168613177453112,0.1773165725037902,12.125505699836388
9,EMP,48357.50624009594,0.2029438000937359,0.0709787049484928,0.4281475219967646,39.621733196177104
9,KDE,21975.486242112704,0.1443351383861128,0.0676836166447471,0.2966903232306941,33.48617873621161
9,TAIL,15444.08141739356,0.1331099896262172,0.050581892767237,0.4103939405721752,29.227500415089057
10,EMP,5785.693737350612,0.0667852924623448,0.0031721617284226,0.0504901710511534,3.6187424007761657
10,KDE,9482.918614325215,0.0271647100728226,0.0017265061366584,0.1153020956903456,7.900326491583257
10,TAIL,14552.290877759146,0.0542792136586864,0.0390116777596744,0.2554162619885286,20.785674977548
11,EMP,9482.918614325215,0.3251289169006571,0.006228616735555,0.2471858961838523,14.996070622732097
11,KDE,14268.123601725323,0.4021723841507399,0.0086459421875941,0.6582549271861855,43.87746091292677
11,TAIL,13400.554926539256,0.1693012838524864,0.0468291653280339,0.4598210677399884,32.166527123284965
12,EMP,8737.827121315939,0.2153450700415562,0.0105784699919614,0.1811829953999275,11.127519188631023
12,KDE,6188.869238802749,0.1628605746581319,0.0115375016590418,0.0571158989306495,5.7242113357578335
12,TAIL,3727.162070573825,0.0740237305281775,0.0014507231040829,0.1065321202930421,7.145702458734574
13,EMP,112537.78966865492,0.3084438844363817,0.0837488570164316,0.7114166904585213,50.750588432733565
13,KDE,83697.9558435605,0.2627941030459362,0.0829954495441397,0.6318040114961234,45.96386455439111
13,TAIL,89097.6901020626,0.212991486695487,0.0809497400532507,0.6335696010651999,46.70942072033896
14,EMP,11703.434588832572,0.0544178086774373,0.0314373168215296,0.3737010330632448,28.046768029639125
14,KDE,8226.174019893942,0.0133318690258841,0.0325858370405004,0.23858948945885,17.476169730124543
14,TAIL,9710.91107020103,0.1509886817065474,0.0341968396057283,0.3653939650994661,25.20604384667276
15,EMP,14268.123601725323,0.1259328579619536,0.0150929154382198,0.3873648436203052,25.854019732298315
15,KDE,14268.123601725323,0.1896050000572372,0.0185821599161942,0.6794375679283285,45.94759316949168
15,TAIL,3144.882329025824,0.0497326993684779,0.0065458112864635,0.0474143762890043,3.561343236839014
16,EMP,8364.600518842642,0.2019144023035119,0.0133735002315383,0.055558270000005,6.626925859017927
16,KDE,14268.123601725323,0.258913594407786,0.0110613335541673,0.3543818988683544,23.121556592507467
16,TAIL,819.5978743874779,0.0292575064996683,0.0018966883879764,0.0156797811320213,1.1915646403710007
17,EMP,19989.76551286162,0.2387424184358476,0.0322763733878666,0.2161698297088726,16.703019060567645
17,KDE,28245.75461791425,0.1809901766878947,0.0337565494638377,0.1275385949962397,16.700907913903055
17,TAIL,9482.918614325215,0.0748615264611457,0.0007172511241132,0.0991980393440661,6.524251071635817
18,EMP,16759.250435288064,0.1751505979829257,0.05913705972375,0.471290142148086,34.794447868889314
18,KDE,14569.337601616668,0.13687929175989,0.0606906439148763,0.3877647916491646,30.90386462338567
18,TAIL,11428.488496953,0.0940959666040719,0.0362069384657347,0.3048477138725554,21.357822443164405
19,EMP,8768.184854098388,0.2503581452414909,0.0297921403701368,0.4482628513476869,30.875336049232804
19,KDE,8324.070262692972,0.2166910562598635,0.0303867334907508,0.3467244864665515,23.4362678167978
19,TAIL,9096.9117532923,0.1744332560382618,0.0295231329066231,0.4044082154010943,27.84408866133574
20,EMP,13668.960910648317,0.164521391051941,0.0057922858231471,0.1090747380712185,8.207774741037994
20,KDE,5410.218456306287,0.1251556038924493,0.0058647971430605,0.0920001115961871,4.147700848984328
20,TAIL,2666.4883839331774,0.0096783671503146,0.006590489604285,0.0462629978314553,3.521511561006719
21,EMP,27790.955766490453,0.2894676716981226,0.0467160594572794,0.4380848303905831,30.033341974979155
21,KDE,11086.893982457928,0.23411340866847,0.0480174059942955,0.3789299499569946,25.61352206726697
21,TAIL,87712.77883381449,0.1730325727141869,0.0733005464741786,0.5629624395139627,41.924396950912254
22,EMP,37963.76050932426,0.2347034984742299,0.0041825926438596,0.1716163164734561,13.07815406816404
22,KDE,8019.788195059531,0.1895084810430198,0.0037069854244037,0.0960550691730869,4.369022416925304
22,TAIL,10825.305955294209,0.008637253290679,0.0204926118911551,0.0954861061094485,10.150195286599798
23,EMP,14268.123601725323,0.0383980631689696,0.0359839503907462,0.3816109701460257,25.32865178100495
23,KDE,14268.123601725323,0.09801835353232,0.0378657487413626,0.6771914276616644,45.33951849288845
23,TAIL,14268.123601725323,0.2063183897592005,0.0559463726598953,0.625157743659389,41.79614307920397
24,EMP,10451.350062213942,0.1980553791816559,0.0367477543222165,0.4724185818392264,32.98928340893853
24,KDE,8965.094038380103,0.1679091257105874,0.0399058943196716,0.4078074150290265,28.12244799600002
24,TAIL,14159.934056289598,0.175114421263644,0.0508006263838644,0.4881751966131424,34.25573151309895
25,EMP,13894.323483838183,0.1017936521091235,0.0194974615062888,0.1299955547854578,9.747813241073224
25,KDE,14268.123601725323,0.0366151944753016,0.0185781816910354,0.3151387666280733,21.097111974787097
25,TAIL,1101.2387980160613,0.0372832465363491,0.0060082805403607,0.0238695581483406,2.9730612273496715
26,EMP,104526.22385179758,0.1819431013453081,0.0565580779074769,0.5150226485820547,39.54902639759509
26,KDE,16110.212171378234,0.1514285711934859,0.057351531658639,0.4536751058839018,32.44149596414721
26,TAIL,10509.72497162792,0.2118281923758554,0.0402022748084544,0.5190394208393276,35.999479272293456
27,EMP,18889.744738872472,0.0683501847888859,0.0337197970357656,0.1732102785992994,18.735691638695226
27,KDE,28245.75461791425,0.1188689209510491,0.0342112330843189,0.0338853137062569,16.925860682957616
27,TAIL,9482.918614325215,0.0613916748808518,0.000483598010114,0.0855273645116757,5.752432672341618
28,EMP,13894.323483838183,0.1110040934044563,0.0691714976796619,0.5023472406882521,34.600004011098115
28,KDE,14268.123601725323,0.1591992481931192,0.0653424545634277,0.7225700749154078,47.37909580951478
28,TAIL,14268.123601725323,0.3165952186481905,0.1250294975356582,1.225990386412345,78.94811186596183
29,EMP,14268.123601725323,0.0811059927889966,0.083959993221525,1.0307935547880114,66.5634300678991
29,KDE,14268.123601725323,0.1788167602236546,0.0782765678110921,1.3654101308729565,90.80379070351825
29,TAIL,14268.123601725323,0.3504144358465476,0.0761173199712493,0.9065751009456188,60.44158022604255
30,EMP,6014.203122487809,0.1174782150211304,0.0004734148791892,0.3488730625803304,26.905620637678066
30,KDE,6521.79414684936,0.088231726908701,0.0007341709370216,0.214634415050631,16.06703367357246
30,TAIL,3562.487377063889,0.0653672308537821,0.0074138682285422,0.151895490670998,10.30032895088674
31,EMP,76934.22053308961,0.2601022384335875,0.1019264304701005,0.7540890626652245,58.01915886674141
31,KDE,93203.41461290306,0.2317368937985077,0.102153553603038,0.6907295990818866,55.26470117895218
31,TAIL,97244.05493274942,0.2791217032865839,0.0961309238484549,0.7644617764903121,56.6738875253164
32,EMP,9443.684098797645,0.2759785350219718,0.0376842907758269,0.5961402535058115,41.640651427531886
32,KDE,8588.563473649738,0.2467663385947952,0.0390385811216954,0.5205599664337317,35.970773626502414
32,TAIL,8685.892954930147,0.2367627824383839,0.0360918643582853,0.517816449236967,35.77054563266288
33,EMP,124472.20239733998,0.3055815566774791,0.0832406707867581,0.6032349144860926,46.727024300650285
33,KDE,22715.77561264392,0.2501788080726419,0.0810619607824315,0.5311079180390883,41.70164796313744
33,TAIL,23575.63702573876,0.0948492406963515,0.0647089583661172,0.4262156081597314,34.92077747575383
34,EMP,13894.323483838183,0.1515698700929313,0.0114163247020753,0.1110674410326379,6.482791489958614
34,KDE,14268.123601725323,0.0912581577877541,0.0141501778321454,0.2906087123926152,19.66797249551878
34,TAIL,14268.123601725323,0.0269245079547214,0.0443806118778177,0.3687959505910284,24.676057998653416
35,EMP,5586.523301633696,0.0070389195440279,0.0156690543845998,0.0238543748261549,7.752197381888174
35,KDE,14268.123601725323,0.0491175885484844,0.0114104729856619,0.1734358259283775,11.708032947305032
35,TAIL,13894.323483838183,0.045207932182512,0.0224668874932831,0.0824111723139571,11.115396125996234
36,EMP,14268.123601725323,0.3090911648877348,0.1279981555246346,1.6040611239158822,106.13540378462017
36,KDE,14268.123601725323,0.4349046068653848,0.1305984987757175,2.2040335819503056,144.6017933096244
36,TAIL,14268.123601725323,0.382796460040584,0.0832917799183231,1.0057214470868996,66.97733792377426
37,EMP,14268.123601725323,0.0270486122299606,0.0107126375262082,0.6443592130036832,42.50247873349435
37,KDE,14268.123601725323,0.1190817922420243,0.0102104155203608,0.884960734413789,59.968535427295855
37,TAIL,9482.918614325215,0.0490135347583317,0.0065572976993382,0.0636256000044868,4.195685848435317
38,EMP,3758.6442122371454,0.1213067916957037,0.0057682450870894,0.1329983220461578,10.940231321334956
38,KDE,2308.1132377246395,0.0598636763467319,0.0065389031817017,0.0698348301817853,4.169430979209685
38,TAIL,14268.123601725323,0.0714997659999938,0.0271953474981818,0.2680198541592099,18.098852445600617
39,EMP,14268.123601725323,0.2420516608456793,0.0328814318058559,0.6184929340090667,40.91282025894805
39,KDE,14268.123601725323,0.3040528160155384,0.0278347293521361,0.9043404453266796,60.90630252629611
39,TAIL,14268.123601725323,0.2527169607593579,0.0412613836171792,0.5883525796409312,39.53987831291952
40,EMP,14268.123601725323,0.62283177508633,0.0994496498430293,1.668258820419399,111.7332063851448
40,KDE,14268.123601725323,0.7089265766902101,0.0921714805871069,2.184526548930928,145.0833537789705
40,TAIL,14268.123601725323,0.1420429177663919,0.0378575171873048,0.4321672476033769,29.06739771179737
41,EMP,15768.487363992052,0.3212309636993622,0.0460780171203357,0.5535891343574346,39.9685141456722
41,KDE,8663.95008887423,0.2777673066624626,0.0457899564406842,0.479732790701364,32.993430078143504
41,TAIL,9920.986448812402,0.1425428465471199,0.0320541391112587,0.3678735581905278,25.414297164500216
42,EMP,94060.0421059588,0.3612539597283634,0.0986033664384714,0.8585083687330882,61.9884555388326
42,KDE,80720.02769800203,0.3345780809319476,0.0971633698229604,0.8017490551404864,57.42224124072549
42,TAIL,106634.24567166044,0.3186944517800751,0.1056857501670661,0.8488651800689374,63.79027421023872
43,EMP,14268.123601725323,0.1344317069322523,0.0859509983805121,0.8772370670206631,55.66842636980587
43,KDE,14268.123601725323,0.2060116223976499,0.084309325662872,1.2687719921287572,83.73793216191802
43,TAIL,14268.123601725323,0.2149420011840516,0.0862317751885049,0.8418043412424483,55.5614918413711
44,EMP,29197.50123649225,0.2448531284952567,0.0488260362982552,0.5108900542700733,35.2177269978788
44,KDE,10688.161422641431,0.2139722490719726,0.049423613560928,0.4494728104958154,30.782898852311828
44,TAIL,82970.59464921274,0.2420407163701738,0.0739173160886125,0.6705151342907665,47.984313503598486
45,EMP,13894.323483838183,0.088088385746929,0.0761334913503299,0.5835718546969203,39.04677423437927
45,KDE,14268.123601725323,0.0282053211180483,0.0709181256147145,0.752491248815901,49.67958805113031
45,TAIL,14268.123601725323,0.1126860953637759,0.0536497114016581,0.4953744037071002,33.03023231853005
46,EMP,13894.323483838183,0.1973925830530619,0.0211549692397408,0.1119866709443203,10.466330202761077
46,KDE,14268.123601725323,0.1230649671704256,0.0213461695753147,0.2595198400788414,18.3086830248323
