replication_id,oracle_region,baseline_method,tail_minus_baseline_regret_cny_per_month
147,Actual-demand,KDE,0.0
148,Actual-demand,KDE,-2243.839408546066
149,Actual-demand,KDE,0.0
150,Actual-demand,KDE,0.0
151,Actual-demand,KDE,0.0
152,Actual-demand,KDE,0.0
153,Actual-demand,KDE,0.0
154,Actual-demand,KDE,0.0
155,Actual-demand,KDE,-2243.839408546066
156,Actual-demand,KDE,2243.839408546066
157,Actual-demand,KDE,0.0
158,Actual-demand,KDE,2243.839408546065
159,Actual-demand,KDE,2243.839408546065
160,Actual-demand,KDE,-2243.839408546065
161,Actual-demand,KDE,-14355.614962200323
162,Actual-demand,KDE,2243.839408546065
163,Actual-demand,KDE,0.0
164,Actual-demand,KDE,0.0
165,Actual-demand,KDE,2243.839408546065
166,Actual-demand,KDE,2243.839408546066
167,Actual-demand,KDE,2243.839408546065
168,Actual-demand,KDE,0.0
169,Actual-demand,KDE,-2243.839408546065
170,Actual-demand,KDE,2243.839408546065
171,Actual-demand,KDE,0.0
172,Actual-demand,KDE,0.0
173,Actual-demand,KDE,2243.839408546065
174,Actual-demand,KDE,0.0
175,Actual-demand,KDE,0.0
176,Actual-demand,KDE,2243.839408546066
177,Actual-demand,KDE,0.0
178,Actual-demand,KDE,0.0
179,Actual-demand,KDE,0.0
180,Actual-demand,KDE,2243.839408546066
181,Actual-demand,KDE,0.0
182,Actual-demand,KDE,-14355.614962200323
183,Actual-demand,KDE,0.0
184,Actual-demand,KDE,0.0
185,Actual-demand,KDE,0.0
186,Actual-demand,KDE,0.0
187,Actual-demand,KDE,0.0
188,Actual-demand,KDE,0.0
189,Actual-demand,KDE,2243.839408546065
190,Actual-demand,KDE,0.0
191,Actual-demand,KDE,0.0
192,Actual-demand,KDE,2243.839408546065
193,Actual-demand,KDE,0.0
194,Actual-demand,KDE,0.0
195,Actual-demand,KDE,0.0
196,Actual-demand,KDE,0.0
197,Actual-demand,KDE,-14355.614962200323
198,Actual-demand,KDE,2243.839408546065
199,Actual-demand,KDE,14355.614962200323
0,Actual-demand,EMP,0.0
1,Actual-demand,EMP,0.0
2,Actual-demand,EMP,0.0
3,Actual-demand,EMP,0.0
4,Actual-demand,EMP,0.0
5,Actual-demand,EMP,0.0
6,Actual-demand,EMP,12111.775553654255
7,Actual-demand,EMP,-2243.839408546066
8,Actual-demand,EMP,0.0
9,Actual-demand,EMP,0.0
10,Actual-demand,EMP,-2243.839408546065
11,Actual-demand,EMP,2243.839408546065
12,Actual-demand,EMP,0.0
13,Actual-demand,EMP,-2243.839408546065
14,Actual-demand,EMP,0.0
15,Actual-demand,EMP,-14355.614962200323
16,Actual-demand,EMP,-14355.614962200323
17,Actual-demand,EMP,0.0
18,Actual-demand,EMP,0.0
19,Actual-demand,EMP,0.0
20,Actual-demand,EMP,0.0
21,Actual-demand,EMP,-2243.839408546065
22,Actual-demand,EMP,-8656.353146453697
23,Actual-demand,EMP,0.0
24,Actual-demand,EMP,0.0
25,Actual-demand,EMP,-14355.614962200323
26,Actual-demand,EMP,0.0
