replication_id,method,absolute_relative_q99_error_pct
0,EMP,6.92035894194134
0,KDE,2.4273150819368103
0,TAIL,7.501651671496839
1,EMP,6.249079174571119
1,KDE,15.74582565041982
1,TAIL,38.52720993057156
2,EMP,36.93066144788656
2,KDE,33.61581448229148
2,TAIL,31.45705105259363
3,EMP,32.292420567980315
3,KDE,38.64121270191434
3,TAIL,19.09932572864736
4,EMP,29.31113517323609
4,KDE,26.82504112923112
4,TAIL,23.58566787125555
5,EMP,10.49048256885836
5,KDE,6.15388671557374
5,TAIL,11.00306628081328
6,EMP,0.60654491409442
6,KDE,5.65386267430221
6,TAIL,7.39534385166439
7,EMP,6.931674584600709
7,KDE,2.85647782390761
7,TAIL,9.87958924807772
8,EMP,3.09836507377356
8,KDE,1.41172800568491
8,TAIL,7.70041470265701
9,EMP,20.29438000937359
9,KDE,14.43351383861128
9,TAIL,13.31099896262172
10,EMP,6.67852924623448
10,KDE,2.71647100728226
10,TAIL,5.42792136586864
11,EMP,32.51289169006571
11,KDE,40.21723841507399
11,TAIL,16.93012838524864
12,EMP,21.53450700415562
12,KDE,16.28605746581319
12,TAIL,7.40237305281775
13,EMP,30.84438844363817
13,KDE,26.27941030459362
13,TAIL,21.2991486695487
14,EMP,5.44178086774373
14,KDE,1.33318690258841
14,TAIL,15.09886817065474
15,EMP,12.59328579619536
15,KDE,18.96050000572372
15,TAIL,4.97326993684779
16,EMP,20.19144023035119
16,KDE,25.8913594407786
16,TAIL,2.92575064996683
17,EMP,23.87424184358477
17,KDE,18.099017668789468
17,TAIL,7.48615264611457
18,EMP,17.51505979829257
18,KDE,13.687929175989
18,TAIL,9.40959666040719
19,EMP,25.03581452414909
19,KDE,21.66910562598635
19,TAIL,17.443325603826178
20,EMP,16.4521391051941
20,KDE,12.515560389244932
20,TAIL,0.96783671503146
21,EMP,28.94676716981226
21,KDE,23.411340866847
21,TAIL,17.30325727141869
22,EMP,23.470349847422987
22,KDE,18.95084810430198
22,TAIL,0.8637253290678999
23,EMP,3.83980631689696
23,KDE,9.801835353232
23,TAIL,20.63183897592005
24,EMP,19.805537918165587
24,KDE,16.79091257105874
24,TAIL,17.5114421263644
25,EMP,10.17936521091235
25,KDE,3.66151944753016
25,TAIL,3.7283246536349104
26,EMP,18.19431013453081
26,KDE,15.14285711934859
26,TAIL,21.18281923758554
27,EMP,6.83501847888859
27,KDE,11.88689209510491
27,TAIL,6.13916748808519
28,EMP,11.10040934044563
28,KDE,15.91992481931192
28,TAIL,31.65952186481905
29,EMP,8.110599278899661
29,KDE,17.88167602236546
29,TAIL,35.04144358465476
30,EMP,11.74782150211304
30,KDE,8.8231726908701
30,TAIL,6.53672308537821
31,EMP,26.010223843358748
31,KDE,23.17368937985077
31,TAIL,27.91217032865839
32,EMP,27.59785350219718
32,KDE,24.67663385947952
32,TAIL,23.67627824383839
33,EMP,30.55815566774791
33,KDE,25.01788080726419
33,TAIL,9.48492406963515
34,EMP,15.156987009293127
34,KDE,9.12581577877541
34,TAIL,2.69245079547214
35,EMP,0.7038919544027901
35,KDE,4.91175885484844
35,TAIL,4.5207932182512
36,EMP,30.90911648877348
36,KDE,43.49046068653848
36,TAIL,38.2796460040584
37,EMP,2.70486122299606
37,KDE,11.90817922420243
37,TAIL,4.9013534758331705
38,EMP,12.13067916957037
38,KDE,5.98636763467319
38,TAIL,7.1499765999993805
39,EMP,24.20516608456793
39,KDE,30.40528160155384
39,TAIL,25.27169607593579
40,EMP,62.283177508633
40,KDE,70.892657669021
40,TAIL,14.204291776639192
41,EMP,32.12309636993622
41,KDE,27.77673066624626
41,TAIL,14.254284654711991
42,EMP,36.12539597283634
42,KDE,33.45780809319476
42,TAIL,31.86944517800751
43,EMP,13.443170693225229
43,KDE,20.60116223976499
43,TAIL,21.49420011840516
44,EMP,24.48531284952567
44,KDE,21.39722490719726
44,TAIL,24.20407163701738
45,EMP,8.8088385746929
45,KDE,2.82053211180484
45,TAIL,11.268609536377587
46,EMP,19.73925830530619
46,KDE,12.30649671704256
46,TAIL,5.57400963281132
47,EMP,3.16532085540176
47,KDE,1.54605959829745
47,TAIL,3.84491880538399
48,EMP,21.91243482953043
48,KDE,17.735316752795217
48,TAIL,4.04543306018096
49,EMP,21.067933909943683
49,KDE,17.8765760598456
49,TAIL,22.55045800982984
50,EMP,49.65924580433901
50,KDE,58.864193435470135
50,TAIL,21.25555358647443
51,EMP,9.09992911190701
51,KDE,1.88055024252178
51,TAIL,8.046861885209381
52,EMP,27.86880342708415
52,KDE,25.17327015817697
52,TAIL,30.290715710357507
53,EMP,13.58679369793763
53,KDE,6.30060136414704
53,TAIL,5.94996128707307
54,EMP,19.65061465080332
54,KDE,13.38132191703732
54,TAIL,0.46710963365475
55,EMP,21.04141307778647
55,KDE,17.79695871125589
55,TAIL,8.22836826810492
56,EMP,37.47733991023376
56,KDE,34.19623508013811
56,TAIL,33.79210338759943
57,EMP,17.285840754536117
57,KDE,23.84430629910361
57,TAIL,3.679128680084201
58,EMP,35.86582836568696
58,KDE,42.17630542240077
58,TAIL,35.555081353175424
59,EMP,4.95711562099885
59,KDE,0.57740488623652
59,TAIL,18.32557743098334
60,EMP,17.65921113445395
60,KDE,13.91357706622168
60,TAIL,7.3332630234541
61,EMP,7.04122255949471
61,KDE,0.34793825923013
61,TAIL,10.08270920639694
62,EMP,21.02940411846107
62,KDE,16.8325502968215
62,TAIL,2.47766568275968
63,EMP,19.243014275470948
63,KDE,15.519750787090713
63,TAIL,4.90492077780901
64,EMP,15.947309733167438
64,KDE,11.22781183214464
64,TAIL,8.83583163388248
65,EMP,9.1205474947417
65,KDE,3.59559162869222
65,TAIL,10.6288207395357
66,EMP,10.80160451384271
66,KDE,6.53430473759844
66,TAIL,13.60278507167155
67,EMP,10.65197926514349
67,KDE,6.22492140734895
67,TAIL,2.23020596772764
68,EMP,25.03789809802306
68,KDE,20.28009535875119
68,TAIL,16.75425178677485
69,EMP,29.91625467130012
69,KDE,26.67527316528765
69,TAIL,3.2899072015187
70,EMP,4.05835870756414
70,KDE,5.567327993892
70,TAIL,21.07787315633844
71,EMP,8.34531581423024
71,KDE,3.98324916362822
71,TAIL,5.05705134825382
72,EMP,40.83637447355
72,KDE,36.94827920871463
72,TAIL,37.16559498527573
73,EMP,16.75474329374066
73,KDE,10.31278651845037
73,TAIL,5.26904684131187
74,EMP,24.94971528523374
74,KDE,20.08934504403436
74,TAIL,3.9314507513370303
75,EMP,22.05050983292904
75,KDE,18.524845208472097
75,TAIL,14.50936922515016
76,EMP,19.066754392593168
76,KDE,14.687903749914591
76,TAIL,3.5809062322938296
77,EMP,15.52055623236626
77,KDE,10.874371061724467
77,TAIL,7.90804261251607
78,EMP,20.22984205923598
78,KDE,15.88751144304852
78,TAIL,8.34889320754541
79,EMP,12.741402720505448
79,KDE,9.11481027375494
79,TAIL,13.00082118131537
80,EMP,27.72540217685877
80,KDE,22.31764583246154
80,TAIL,1.33075102969584
81,EMP,10.22240960205633
81,KDE,1.77690530637271
