analysis_variant,factory,method,crps
ROBUST_FIXED_ALL,Metal_1,K-KDE,0.0042562626790215
ROBUST_FIXED_ALL,Metal_1,K-POINT,0.0049300598706231
ROBUST_FIXED_ALL,Metal_1,K-UGPD,0.0033207069034645
ROBUST_FIXED_ALL,Metal_3,K-EMP,0.0085592248740952
ROBUST_FIXED_ALL,Metal_3,K-GEV,0.007724502346855
ROBUST_FIXED_ALL,Metal_3,K-GTAIL,0.0574286658030982
ROBUST_FIXED_ALL,Metal_3,K-KDE,0.0078830725284932
ROBUST_FIXED_ALL,Metal_3,K-POINT,0.0099288745107073
ROBUST_FIXED_ALL,Metal_3,K-UGPD,0.008691698497703
ROBUST_FIXED_ALL,Paper,K-EMP,0.0074036144873923
ROBUST_FIXED_ALL,Paper,K-GEV,0.0075086671935674
ROBUST_FIXED_ALL,Paper,K-GTAIL,0.0067386163822187
ROBUST_FIXED_ALL,Paper,K-KDE,0.0070565363450874
ROBUST_FIXED_ALL,Paper,K-POINT,0.0105095551952378
ROBUST_FIXED_ALL,Paper,K-UGPD,0.007307103975246
ROBUST_FIXED_ALL,Steel_2,K-EMP,0.0452563508635555
ROBUST_FIXED_ALL,Steel_2,K-GEV,0.0427517557577952
ROBUST_FIXED_ALL,Steel_2,K-GTAIL,0.0406328602749914
ROBUST_FIXED_ALL,Steel_2,K-KDE,0.0392168183110978
ROBUST_FIXED_ALL,Steel_2,K-POINT,0.0555261149458497
ROBUST_FIXED_ALL,Steel_2,K-UGPD,0.0407874027883543
ROBUST_SLIDING_ALL,Cement_1,K-EMP,0.0701112391060464
ROBUST_SLIDING_ALL,Cement_1,K-GEV,0.072089209856718
ROBUST_SLIDING_ALL,Cement_1,K-GTAIL,0.0710715092447714
ROBUST_SLIDING_ALL,Cement_1,K-KDE,0.0647478672499624
ROBUST_SLIDING_ALL,Cement_1,K-POINT,0.0813805819603771
ROBUST_SLIDING_ALL,Cement_1,K-UGPD,0.0460880958956379
ROBUST_SLIDING_ALL,Cement_2,K-EMP,0.0393236919590869
ROBUST_SLIDING_ALL,Cement_2,K-GEV,0.0392980509586413
ROBUST_SLIDING_ALL,Cement_2,K-GTAIL,0.037225699344552
ROBUST_SLIDING_ALL,Cement_2,K-KDE,0.0376027051618622
ROBUST_SLIDING_ALL,Cement_2,K-POINT,0.0508960133080609
ROBUST_SLIDING_ALL,Cement_2,K-UGPD,0.0371170909450266
ROBUST_SLIDING_ALL,Forge_1,K-EMP,0.0349895809678687
ROBUST_SLIDING_ALL,Forge_1,K-GEV,0.0356202348773778
