file,role,category,rows,columns,bytes,sha256,provenance,notes
formal/tables/external_rolling_tail_scores.csv,Frozen formal research output,derived_external_summary,224,20,78600,884e8de5df1cb52d7bd2cf45a5907e710ed63ef4d368079963508c833f5718ee,Final V1.1 authoritative/02_Data/tables/external_rolling_tail_scores.csv,"Legacy method-specific exceedance-loss fields are retained for provenance; final cross-method comparisons use CRPS, qwCRPS and pinball losses, while Table S7 reports exceedance counts."
formal/tables/external_rolling_tail_scores_all_observations.csv,Frozen formal research output,derived_external_summary,224,20,79494,0510d527bf8ecf0a97848145c73dc3d7484360bbfdc507eebbdfdd30df23591f,Final V1.1 authoritative/02_Data/tables/external_rolling_tail_scores_all_observations.csv,"Legacy method-specific exceedance-loss fields are retained for provenance; final cross-method comparisons use CRPS, qwCRPS and pinball losses, while Table S7 reports exceedance counts."
formal/tables/frequency_sensitivity_summary.csv,Frozen formal research output,aggregate_or_design,20,10,2908,0203b32b990ed07ed6d2dff2e35ffded7654206ef4e28ad6d8822d6933fb7b72,Final V1.1 authoritative/02_Data/tables/frequency_sensitivity_summary.csv,
formal/tables/method_fidelity_summary.csv,Frozen formal research output,aggregate_or_design,5,8,731,bf6aceb14c3a290cccad9c728073acd6480e89032fd02d07617dcf5c386a0da2,Final V1.1 authoritative/02_Data/tables/method_fidelity_summary.csv,
formal/tables/regime_shift_method_summary.csv,Frozen formal research output,aggregate_or_design,20,9,2988,9304328f7a588c07dff683ec6899471dfe987f27cf53a2948c0bb5f2ac035d58,Final V1.1 authoritative/02_Data/tables/regime_shift_method_summary.csv,
formal/tables/regime_shift_paired_contrasts.csv,Frozen formal research output,aggregate_or_design,60,10,10077,f26e345dbcc3465d02ba36e2002ce017e3f6f434e36db9477ae4fb9296af673f,Final V1.1 authoritative/02_Data/tables/regime_shift_paired_contrasts.csv,
formal/tables/regional_paired_contrasts.csv,Frozen formal research output,aggregate_or_design,36,19,10062,997af63432583114c7fba32699f11626691f59e50fbb6f2a3ece628de5806773,Final V1.1 authoritative/02_Data/tables/regional_paired_contrasts.csv,
formal/tables/tail_quadrature_stability_audit.csv,Frozen formal research output,synthetic_history,55,11,7375,4982678d737cd878d873e45b7472a505394786ffe4ea4f0a6bf4b402098326a2,Final V1.1 authoritative/02_Data/tables/tail_quadrature_stability_audit.csv,
formal/tables/tail_selection_frequencies.csv,Frozen formal research output,aggregate_or_design,8,5,348,df638af5c4f5205826b961d861babdce671af550e2d44ea9e6cd63d325753ecf,Final V1.1 authoritative/02_Data/tables/tail_selection_frequencies.csv,
derived/certificate_by_method.csv,Existing figure-source data; descriptive summaries or synthetic history records,aggregate_or_design,5,4,140,1dd72b7fc978d85ca2f561e94d4eb61cfc90a762e98abc7cab753598dbedcc35,V1.4 narrative figure-source snapshot/data/derived/certificate_by_method.csv,
derived/certificate_counts.csv,Existing figure-source data; descriptive summaries or synthetic history records,aggregate_or_design,4,4,121,ae718e8d7b1f4e060d7be31d20522b4f3be936d38c3dc543c294d2682ebe9a05,V1.4 narrative figure-source snapshot/data/derived/certificate_counts.csv,
derived/crossed_atlas.csv,Existing figure-source data; descriptive summaries or synthetic history records,aggregate_or_design,380,9,34402,42ccd812918b9f06ad3649b65cfa2aedc44716ab6172b85f59648d1305f1e8a1,V1.4 narrative figure-source snapshot/data/derived/crossed_atlas.csv,
