replication_id,method_id,q99_relative_error,mean_relative_error,stoploss_relative_error,regret_cny_per_month
0,EMP,0.0459314854201293,0.0286499160416875,0.13664833574764307,14954.95768883545
0,EVENT-EMP,0.0459314854201293,0.0194448673627292,0.1331871908138742,7388.42442076498
0,GEV,0.014297680707478798,0.0286500081733223,0.09768899156639592,13008.083366324814
0,KDE,0.0017749301271593003,0.0286499159956803,0.020527284206677467,28785.54529624184
0,TAIL,0.0986212408780859,0.0094242998394955,0.10176404432282324,19447.884100056355
1,EMP,0.2263461866976394,0.0266765460658835,0.17281605324944124,32047.9020690979
1,EVENT-EMP,0.2263461866976394,0.0101417866501249,0.09110435544309295,16495.03835864365
1,GEV,0.1771795747666199,0.0266765460710432,0.13977012937976976,14433.2496918147
1,KDE,0.1740206143605912,0.0266765460658853,0.23250396519427952,18392.098896255717
1,TAIL,0.0444702201672921,0.0094255362084226,0.023628355207844533,5950.373759188999
2,EMP,0.1716164993547121,0.042626984526297,0.42068451132560597,20124.71311286899
2,EVENT-EMP,0.1716164993547121,0.030963422411914004,0.3545684208092015,8038.739315788883
2,GEV,0.0910199921092715,0.0426270328959001,0.38163405062679817,15701.748519480849
2,KDE,0.135025968940995,0.0426269845262968,0.3162727418847162,8997.541375433406
2,TAIL,0.121067275896081,0.0339540454514401,0.3511170947581265,10590.693950216597
3,EMP,0.1621114534074535,0.0363868407622368,0.3822533544160102,20463.05606170868
3,EVENT-EMP,0.1621114534074535,0.0467568291894602,0.4047007271086754,18761.874849218566
3,GEV,0.040801397219376,0.0364036792215769,0.3635537806959211,18000.27727307224
3,KDE,0.1256523900199951,0.0363868407622368,0.28709339366023595,10115.586314351609
3,TAIL,0.11589889702430309,0.0415700736579054,0.3601517292655424,12538.190696821239
4,EMP,0.0989887353561414,0.0629050893929005,0.5407547219108676,14817.900658757942
4,EVENT-EMP,0.0989887353561414,0.0613332938758091,0.5516056840099139,14817.900658757942
4,GEV,0.1581052729993312,0.0629031776309211,0.5327407267672224,14817.900658757942
4,KDE,0.0236883102882346,0.0629050894097568,0.7423461222915042,14817.900658757942
4,TAIL,0.2002019398269238,0.0638529684927641,0.6620150217227627,14817.900658757942
5,EMP,0.2042089160560169,0.007731421761359501,0.15819168792294236,3288.9872981290227
5,EVENT-EMP,0.2042089160560169,0.0013511883786892,0.13878058315614422,6788.129929583106
5,GEV,0.057823081142672,0.0077314059546748,0.13938025901264472,3387.873143827439
5,KDE,0.1545438488808067,0.0077314217613599,0.041887062751311904,1949.9659886534016
5,TAIL,0.1308248891054531,0.0006324069861814,0.18948188413767486,4184.754141265423
6,EMP,0.2188977756770578,0.020247508544324,0.08903755823284147,28785.54529624184
6,EVENT-EMP,0.2188977756770578,0.0220767546712356,0.18813647363276262,10686.918753577085
6,GEV,0.077785272739501,0.0202475085443242,0.07989872934239575,8652.200876898132
6,KDE,0.1584177911870077,0.02024750854092,0.07810856258280797,28785.54529624184
6,TAIL,0.22268734775052432,0.0214497442788934,0.4332399172976507,14817.900658757942
7,EMP,0.1950212499916138,0.0690110586790103,0.37775406914160986,44434.09818976931
7,EVENT-EMP,0.1950212499916138,0.0373980377794975,0.3568854223832739,9858.572956939228
7,GEV,0.0897608405542967,0.0690110586792359,0.3391640973724579,23358.7995045421
7,KDE,0.1492676971276495,0.0690110586709258,0.2612589567954911,28785.54529624184
7,TAIL,0.1426064776043749,0.0401839918039686,0.40308669471064895,11506.319867536115
8,EMP,0.1517591589116356,0.029275108730974005,0.3281287605483154,7883.784690137331
8,EVENT-EMP,0.1517591589116356,0.0385273867646146,0.38394913155997823,7932.108623247594
8,GEV,0.1634562193145021,0.0292751087309744,0.2977820043815264,7951.956721654162
8,KDE,0.1123942856417457,0.029275108730969297,0.1972295287828273,8107.1686563327285
8,TAIL,0.0123299420551488,0.0240625919666318,0.12054132686316926,11126.131019844053
9,EMP,0.1825965476047983,0.0532091736334099,0.25295159626855973,18542.18366646394
9,EVENT-EMP,0.1825965476047983,0.0193231842324251,0.09840563902597785,14051.307577571417
9,GEV,0.1274440790591338,0.0532091736334091,0.2878640273066158,19159.975007488494
9,KDE,0.1260176699197569,0.0532091736340215,0.3869528798789933,21850.68089605992
9,TAIL,0.048620494143222,0.0236075748599536,0.19971386533712782,13499.961548449368
10,EMP,0.364902322966715,0.0804422140857189,0.8550467872090489,87496.06463477139
10,EVENT-EMP,0.364902322966715,0.0783275735869616,0.8257483945948919,76360.62664591645
10,GEV,0.3525908679737687,0.080442214093312,0.8555704800112559,79769.2293402921
10,KDE,0.3422858372582387,0.0804422140857189,0.8219873563802576,78898.78236804862
10,TAIL,0.3339679831712878,0.0827979927317485,0.8214015082176841,81062.99636951378
11,EMP,0.2119527144666387,0.0137731273636269,0.1315621456220435,11936.8089361286
11,EVENT-EMP,0.2119527144666387,0.0189498967351813,0.2364451235374193,8525.714473721573
11,GEV,0.1511651233579171,0.0137731273636269,0.11326343908585002,13096.072602218534
11,KDE,0.1725562081202568,0.0137731273636269,0.09415557537664523,11716.691372459134
