replication_id,method_id,cell_id,mode,estimated_value_cny,oracle_value_cny,estimated_contract_D_kw,oracle_contract_D_kw,selected_mode,regret_cny_per_month
0,GAUSSIAN,BASE_ACTUAL_NEAR,capacity,5379509.449213758,5379509.449213758,138911.5043677076,135478.62626660542,actual_maximum_demand,0.0
0,GAUSSIAN,BASE_ACTUAL_NEAR,actual_maximum_demand,5183595.193211149,5336473.373620048,138911.5043677076,135478.62626660542,actual_maximum_demand,0.0
0,GAUSSIAN,BASE_ACTUAL_NEAR,contracted_maximum_demand,5833922.275596345,5894015.071988972,138911.5043677076,135478.62626660542,actual_maximum_demand,0.0
0,GAUSSIAN,BASE_CAPACITY_NEAR,capacity,5294120.41033735,5294120.41033735,138911.5043677076,135478.62626660542,actual_maximum_demand,42352.963282697834
0,GAUSSIAN,BASE_CAPACITY_NEAR,actual_maximum_demand,5183595.193211149,5336473.373620048,138911.5043677076,135478.62626660542,actual_maximum_demand,42352.963282697834
0,GAUSSIAN,BASE_CAPACITY_NEAR,contracted_maximum_demand,5833922.275596345,5894015.071988972,138911.5043677076,135478.62626660542,actual_maximum_demand,42352.963282697834
0,GAUSSIAN,STRESS_ACTUAL_CLEAR,capacity,8338239.646281326,8338239.646281326,148235.3714894458,148235.3714894458,actual_maximum_demand,0.0
0,GAUSSIAN,STRESS_ACTUAL_CLEAR,actual_maximum_demand,5183595.193211149,5336473.373620048,148235.3714894458,148235.3714894458,actual_maximum_demand,0.0
0,GAUSSIAN,STRESS_ACTUAL_CLEAR,contracted_maximum_demand,5496266.234313869,5655122.8127588285,148235.3714894458,148235.3714894458,actual_maximum_demand,0.0
0,GAUSSIAN,STRESS_ACTUAL_NEAR,capacity,7411768.5744722895,7411768.5744722895,131764.77465728516,131764.77465728516,actual_maximum_demand,0.0
0,GAUSSIAN,STRESS_ACTUAL_NEAR,actual_maximum_demand,5183595.193211149,5336473.373620048,131764.77465728516,131764.77465728516,actual_maximum_demand,0.0
0,GAUSSIAN,STRESS_ACTUAL_NEAR,contracted_maximum_demand,5223759.2955805985,5341435.487882147,131764.77465728516,131764.77465728516,actual_maximum_demand,0.0
0,GAUSSIAN,STRESS_CONTRACT_NEAR_LOW,capacity,7330320.568159408,7330320.568159408,130316.8101006117,130316.8101006117,actual_maximum_demand,11861.451992777176
0,GAUSSIAN,STRESS_CONTRACT_NEAR_LOW,actual_maximum_demand,5183595.193211149,5336473.373620048,130316.8101006117,130316.8101006117,actual_maximum_demand,11861.451992777176
0,GAUSSIAN,STRESS_CONTRACT_NEAR_LOW,contracted_maximum_demand,5213652.508489735,5324611.921627271,130316.8101006117,130316.8101006117,actual_maximum_demand,11861.451992777176
0,GAUSSIAN,STRESS_CONTRACT_CLEAR,capacity,5336473.373620048,5336473.373620048,125477.38283153696,121825.7341727639,actual_maximum_demand,60408.2708125161
0,GAUSSIAN,STRESS_CONTRACT_CLEAR,actual_maximum_demand,5183595.193211149,5336473.373620048,125477.38283153696,121825.7341727639,actual_maximum_demand,60408.2708125161
0,GAUSSIAN,STRESS_CONTRACT_CLEAR,contracted_maximum_demand,5198749.523224901,5276065.102807532,125477.38283153696,121825.7341727639,actual_maximum_demand,60408.2708125161
0,GAUSSIAN,STRESS_CONTRACT_NEAR_HIGH,capacity,5294120.41033735,5294120.41033735,125477.38283153696,121825.7341727639,actual_maximum_demand,60408.2708125161
0,GAUSSIAN,STRESS_CONTRACT_NEAR_HIGH,actual_maximum_demand,5183595.193211149,5336473.373620048,125477.38283153696,121825.7341727639,actual_maximum_demand,60408.2708125161
0,GAUSSIAN,STRESS_CONTRACT_NEAR_HIGH,contracted_maximum_demand,5198749.523224901,5276065.102807532,125477.38283153696,121825.7341727639,actual_maximum_demand,60408.2708125161
0,GAUSSIAN,STRESS_CAPACITY_NEAR,capacity,5252434.422854379,5252434.422854379,125477.38283153696,121825.7341727639,actual_maximum_demand,84038.95076566935
0,GAUSSIAN,STRESS_CAPACITY_NEAR,actual_maximum_demand,5183595.193211149,5336473.373620048,125477.38283153696,121825.7341727639,actual_maximum_demand,84038.95076566935
0,GAUSSIAN,STRESS_CAPACITY_NEAR,contracted_maximum_demand,5198749.523224901,5276065.102807532,125477.38283153696,121825.7341727639,actual_maximum_demand,84038.95076566935
0,GAUSSIAN,STRESS_CAPACITY_CLEAR,capacity,4764708.369303615,4764708.369303615,125477.38283153696,121825.7341727639,capacity,0.0
0,GAUSSIAN,STRESS_CAPACITY_CLEAR,actual_maximum_demand,5183595.193211149,5336473.373620048,125477.38283153696,121825.7341727639,capacity,0.0
0,GAUSSIAN,STRESS_CAPACITY_CLEAR,contracted_maximum_demand,5198749.523224901,5276065.102807532,125477.38283153696,121825.7341727639,capacity,0.0
