cell_id,alpha,utilization,oracle_mode,oracle_margin_cny,oracle_best_value_cny,sufficient_w1_radius_kw,radius_percent_oracle_mean
BASE_ACTUAL_NEAR,1.05,0.62,actual_maximum_demand,43036.075593709946,5336473.373620048,298.8616360674302,0.20161290322580588
BASE_CAPACITY_NEAR,1.05,0.63,capacity,42352.96328269784,5294120.41033735,294.1178005742906,0.19841269841269396
STRESS_ACTUAL_CLEAR,1.2,0.4,actual_maximum_demand,318649.43913878035,5336473.373620048,2212.843327352641,1.4927903543657213
STRESS_ACTUAL_NEAR,1.2,0.45,actual_maximum_demand,4962.114262098448,5336473.373620048,34.45912682012811,0.02324622421348441
STRESS_CONTRACT_NEAR_LOW,1.2,0.455,contracted_maximum_demand,11861.451992777176,5324611.921627271,82.37119439428595,0.055567840230461255
STRESS_CONTRACT_CLEAR,1.2,0.625,contracted_maximum_demand,60408.27081251609,5276065.102807532,419.5018806424729,0.28299715272231163
STRESS_CONTRACT_NEAR_HIGH,1.2,0.63,contracted_maximum_demand,18055.307529818267,5276065.102807532,125.38408006818241,0.08458445430961775
STRESS_CAPACITY_NEAR,1.2,0.635,capacity,23630.679953153245,5252434.422854379,164.10194411911976,0.11070363467925984
STRESS_CAPACITY_CLEAR,1.2,0.6999999999999998,capacity,511356.7335039172,4764708.369303615,3551.088427110536,2.3955742758491145
