replication_id,training_months,xi_bias,sigma_relative_bias,q99_relative_error
16,24,0.0579950954015024,-0.1589812914396725,0.0648617506467395
16,60,-0.0091184745111876,-0.0166673905525309,-0.009366220088052
17,12,0.0584202631910048,-0.0583394335803232,0.1470705858417851
17,24,-0.0072865601768363,-0.0593982680344162,-0.0606172547249037
17,60,0.0078118062080609,-0.0682392473271041,-0.0260408934604341
18,12,0.0164934345444594,-0.0312281992102339,0.0285842048100062
18,24,-0.026232744133364,0.0528067778985051,-0.0342060225281829
18,60,-0.0114568502640122,-0.0163778076607662,-0.0408498989068248
19,12,0.0769977470367936,-0.1091598915001116,0.2343579346905328
19,24,0.0098524447317801,-0.0339680380700471,0.0311705865562065
19,60,0.0546530243629631,-0.0170630742318169,0.1824645826388536
20,12,-0.0152146485818178,-0.072565927165458,-0.0957103785462826
20,24,0.0238413110650698,-0.0285110264019639,0.0754788836892369
20,60,0.0044879389978236,-0.0125189974006952,-0.0251339493262959
21,12,-0.0877297177961463,0.2603038575731956,-0.1022922598019675
21,24,0.0304091187909721,0.0253311088828912,0.1585266885981471
21,60,0.0841383003432345,-0.0322273160456517,0.280587331010013
22,12,-0.0300630595667904,0.0021218198624207,-0.1119795589733328
22,24,0.039649970516571,-0.0621678145584427,0.0796935931016938
22,60,-0.0179650730802948,0.0153118386086782,-0.0691281700465417
23,12,-0.0893776508655281,0.0770803232440952,-0.1515469941369574
23,24,-0.0401043460078704,0.064795151941744,-0.0827967340656148
23,60,0.0378276317536984,0.0017446874964513,0.1464780203643299
24,12,-0.1556255540932061,-0.1145190466902945,-0.3307014609157665
24,24,0.0253419910749077,-0.0554091157401245,0.0402231080119219
24,60,0.0228903974125448,-0.0563660086756456,0.0559719514640601
25,12,-0.0689390399049243,0.1431099171367398,-0.0805551825348113
25,24,-0.0075546461150512,0.0224591449686729,-0.0083916211395688
25,60,0.0268798866983638,0.0005614384410188,0.1174931632166676
