replication_id,physical_scenario_id,training_months,method_id,regret_scaled
2,T6_CLUSTERED,24,KDE-MC-JOINT,0.1786668731948878
2,T6_CLUSTERED,24,TAIL-JOINT,0.914192701090556
2,T6_CLUSTERED,24,TAIL-NODECLUSTER,1.0322681765845063
3,T4_HIGH_AMP,12,DIAGNOSTIC-GATE,0.30103127988332057
3,T4_HIGH_AMP,12,EMP-JOINT,0.4704777368230123
3,T4_HIGH_AMP,12,KDE-MC-JOINT,0.003768860743073792
3,T4_HIGH_AMP,12,TAIL-JOINT,0.30103127988332057
3,T4_HIGH_AMP,24,DIAGNOSTIC-GATE,0.09996927622951982
3,T4_HIGH_AMP,24,EMP-JOINT,0.0022977960484750247
3,T4_HIGH_AMP,24,KDE-MC-JOINT,4.04645868162888e-05
3,T4_HIGH_AMP,24,TAIL-JOINT,0.09996927622951982
3,T5_HIGH_FREQ,12,DIAGNOSTIC-GATE,1.169662948432869
3,T5_HIGH_FREQ,12,EMP-JOINT,1.1855811210244513
3,T5_HIGH_FREQ,12,KDE-MC-JOINT,1.169662948432869
3,T5_HIGH_FREQ,12,TAIL-JOINT,3.4838600969806564
3,T5_HIGH_FREQ,24,DIAGNOSTIC-GATE,0.08822302365692027
3,T5_HIGH_FREQ,24,EMP-JOINT,0.06525107566253013
3,T5_HIGH_FREQ,24,KDE-MC-JOINT,0.08822302365692027
3,T5_HIGH_FREQ,24,TAIL-JOINT,0.32900926413429143
3,T6_CLUSTERED,12,DIAGNOSTIC-GATE,0.41522274995493
3,T6_CLUSTERED,12,EMP-JOINT,2.2629308160260697
3,T6_CLUSTERED,12,KDE-MC-JOINT,0.41522274995493
3,T6_CLUSTERED,12,TAIL-JOINT,4.14091837429689
3,T6_CLUSTERED,12,TAIL-NODECLUSTER,4.365540469040094
3,T6_CLUSTERED,24,DIAGNOSTIC-GATE,0.03784201998722711
3,T6_CLUSTERED,24,EMP-JOINT,0.45541583315088585
3,T6_CLUSTERED,24,KDE-MC-JOINT,0.002907902044986327
3,T6_CLUSTERED,24,TAIL-JOINT,0.03784201998722711
3,T6_CLUSTERED,24,TAIL-NODECLUSTER,0.06234623285120918
4,T4_HIGH_AMP,12,DIAGNOSTIC-GATE,1.5724619900788197
4,T4_HIGH_AMP,12,EMP-JOINT,1.5586724854450673
4,T4_HIGH_AMP,12,KDE-MC-JOINT,1.5724619900788197
4,T4_HIGH_AMP,12,TAIL-JOINT,5.238771124287046
4,T4_HIGH_AMP,24,DIAGNOSTIC-GATE,0.8387417763529239
4,T4_HIGH_AMP,24,EMP-JOINT,1.0364765888245304
4,T4_HIGH_AMP,24,KDE-MC-JOINT,0.8387417763529239
4,T4_HIGH_AMP,24,TAIL-JOINT,0.40963603073924193
4,T5_HIGH_FREQ,12,DIAGNOSTIC-GATE,0.648076596843528
4,T5_HIGH_FREQ,12,EMP-JOINT,0.3923828226585834
4,T5_HIGH_FREQ,12,KDE-MC-JOINT,0.648076596843528
