policy_id,cell_id,alpha,utilization,oracle_mode,method_id,replications,action_accuracy,mean_regret_cny,se_regret_cny,median_regret_cny,p90_regret_cny,p95_regret_cny,mean_regret_over_oracle,median_regret_over_oracle,p95_regret_over_oracle
BASE_ALPHA105,BASE_ACTUAL_NEAR,1.05,0.62,actual_maximum_demand,EMP,1000,0.604,17042.28593510914,665.9106793946842,0.0,43036.075593709946,43036.075593709946,0.0031935483870967514,0.0,0.0080645161290322
BASE_ALPHA105,BASE_ACTUAL_NEAR,1.05,0.62,actual_maximum_demand,EVENT-EMP,1000,0.642,15406.91506254816,652.768133251698,0.0,43036.075593709946,43036.075593709946,0.0028870967741935274,0.0,0.0080645161290322
BASE_ALPHA105,BASE_ACTUAL_NEAR,1.05,0.62,actual_maximum_demand,GEV,1000,0.605,16999.24985951543,665.6196780144003,0.0,43036.075593709946,43036.075593709946,0.003185483870967719,0.0,0.0080645161290322
BASE_ALPHA105,BASE_ACTUAL_NEAR,1.05,0.62,actual_maximum_demand,KDE,1000,0.604,17042.28593510914,665.9106793946842,0.0,43036.075593709946,43036.075593709946,0.0031935483870967514,0.0,0.0080645161290322
BASE_ALPHA105,BASE_ACTUAL_NEAR,1.05,0.62,actual_maximum_demand,TAIL,1000,0.643,15363.87898695445,652.3632866947912,0.0,43036.075593709946,43036.075593709946,0.0028790322580644957,0.0,0.0080645161290322
BASE_ALPHA105,BASE_CAPACITY_NEAR,1.05,0.63,capacity,EMP,1000,0.531,19863.539779585288,668.7052602597915,0.0,42352.96328269784,42352.96328269784,0.0037519999999999065,0.0,0.0079999999999998
BASE_ALPHA105,BASE_CAPACITY_NEAR,1.05,0.63,capacity,EVENT-EMP,1000,0.517,20456.481265543058,669.606860413437,0.0,42352.96328269784,42352.96328269784,0.0038639999999999035,0.0,0.0079999999999998
BASE_ALPHA105,BASE_CAPACITY_NEAR,1.05,0.63,capacity,GEV,1000,0.531,19863.539779585288,668.7052602597915,0.0,42352.96328269784,42352.96328269784,0.0037519999999999065,0.0,0.0079999999999998
BASE_ALPHA105,BASE_CAPACITY_NEAR,1.05,0.63,capacity,KDE,1000,0.531,19863.539779585288,668.7052602597915,0.0,42352.96328269784,42352.96328269784,0.0037519999999999065,0.0,0.0079999999999998
BASE_ALPHA105,BASE_CAPACITY_NEAR,1.05,0.63,capacity,TAIL,1000,0.512,20668.246081956546,669.8012429277692,0.0,42352.96328269784,42352.96328269784,0.0039039999999999028,0.0,0.0079999999999998
