method_id,information_set,model_class,replications,median_abs_q99_error,mean_abs_q99_error,median_abs_mean_error,mean_abs_mean_error,median_abs_stoploss_error,mean_abs_stoploss_error
EMP,monthly_maxima,empirical,1000,0.1701012027668731,0.1815169847436451,0.0294812171904412,0.0344802388311457,0.3089487025857691,0.37346307101197884
EVENT-EMP,event_level,nonparametric_event_maximum,1000,0.1701012027668731,0.1815169847436451,0.026738167618094,0.0323932400536848,0.3061102371558513,0.36298881744291195
GEV,monthly_maxima,GEV,1000,0.1299033777572254,0.1592055179006714,0.0293772648598604,0.0342867153783941,0.30411923899248794,0.36718878734710614
KDE,monthly_maxima,Gaussian_KDE,1000,0.1406236162441321,0.1573281949670653,0.0294812466700828,0.034545973975437,0.33754221093341286,0.43630006399344745
TAIL,event_level,GPD_count_pipeline,1000,0.1005602292383988,0.1222219834660262,0.0271250684228387,0.0322693700157283,0.2756343622646248,0.3359934211803201
