variant,measurement,factory,origin_id,train_months,test_month,train_month_count,normalization_kw,observed_normalized_max,method_id,fit_status,threshold,xi,sigma,cluster_rate,draw_count,draw_mean_kw,draw_q95_kw,draw_q99_kw,diagnostics
natural_tail,fixed_nonoverlapping_15min,Cement_1,O2_MAR_JUN_TO_JUL,"[""2019-03"", ""2019-04"", ""2019-05"", ""2019-06""]",2019-07,4,1432.1066666666668,1.1115745568300313,K-KDE,PASS,,,,,50000,0.9997199828285515,1.0939280969358698,1.1251567629660477,"{""bandwidth_kw"":0.034922083457094466,""boundary"":""reject_below_zero"",""center_kw"":0.9999999999999998,""rejection_batches"":1}"
natural_tail,fixed_nonoverlapping_15min,Cement_1,O2_MAR_JUN_TO_JUL,"[""2019-03"", ""2019-04"", ""2019-05"", ""2019-06""]",2019-07,4,1432.1066666666668,1.1115745568300313,K-POINT,PASS,,,,,50000,0.9999999999999999,0.9999999999999998,0.9999999999999998,"{""center"":""mean""}"
natural_tail,fixed_nonoverlapping_15min,Cement_1,O2_MAR_JUN_TO_JUL,"[""2019-03"", ""2019-04"", ""2019-05"", ""2019-06""]",2019-07,4,1432.1066666666668,1.1115745568300313,K-UGPD,PASS,0.9666319082377475,0.2700397097819919,0.013162786411322645,4.75,50000,1.0108402608726113,1.0826087159177973,1.1769960716893937,"{""bootstrap_ks_pvalue"":null,""bootstrap_successful"":null,""candidate_count"":12,""cluster_count"":19,""final_rejection_reasons"":[],""mean_validation_log_score"":-175.47341578308465,""run_length_minutes"":120,""selected_threshold_quantile"":0.975,""selection_scheme"":""leave_one_training_month_out"",""shape_ci_width"":null,""truncation_fraction"":0.0,""validation_months"":[""2019-03"",""2019-04"",""2019-05"",""2019-06""]}"
natural_tail,fixed_nonoverlapping_15min,Cement_1,O3_MAR_JUL_TO_AUG,"[""2019-03"", ""2019-04"", ""2019-05"", ""2019-06"", ""2019-07""]",2019-08,5,1464.064,1.1036311709506323,K-BLOCK,PASS,,,,,50000,1.0664824969400246,1.0873113015095879,1.0873113015095879,"{""block_length_windows"":96,""blocks_per_draw"":31,""information_set"":""fixed_nonoverlapping_15min_natural_tail"",""moving_blocks_available"":13740,""target_windows"":2976}"
natural_tail,fixed_nonoverlapping_15min,Cement_1,O3_MAR_JUL_TO_AUG,"[""2019-03"", ""2019-04"", ""2019-05"", ""2019-06"", ""2019-07""]",2019-08,5,1464.064,1.1036311709506323,K-EMP,PASS,,,,,50000,0.9997866177070585,1.0873113015095879,1.0873113015095879,"{""training_rows"":5}"
natural_tail,fixed_nonoverlapping_15min,Cement_1,O3_MAR_JUL_TO_AUG,"[""2019-03"", ""2019-04"", ""2019-05"", ""2019-06"", ""2019-07""]",2019-08,5,1464.064,1.1036311709506323,K-GEV,FALLBACK_EMPIRICAL,,,,,50000,0.9994907792737658,1.0873113015095879,1.0873113015095879,"{""reason"":""insufficient_or_degenerate_months""}"
natural_tail,fixed_nonoverlapping_15min,Cement_1,O3_MAR_JUL_TO_AUG,"[""2019-03"", ""2019-04"", ""2019-05"", ""2019-06"", ""2019-07""]",2019-08,5,1464.064,1.1036311709506323,K-GTAIL,FALLBACK_EXPONENTIAL,0.941452468380253,0.0,0.03619425590049818,13.2,50000,1.0556163481160887,1.1429664479600499,1.2026818052177237,"{""bootstrap_ks_pvalue"":0.003992015968063872,""bootstrap_successful"":500,""candidate_count"":12,""cluster_count"":66,""fallback_empirical_rolling_log_score"":-2.3456361437884636,""fallback_exponential_rolling_log_score"":-1.5255681654271167,""final_rejection_reasons"":[""parametric_bootstrap_ks""],""mean_validation_log_score"":-0.18608858182475513,""run_length_minutes"":30,""selected_threshold_quantile"":0.925,""selection_scheme"":""leave_one_training_month_out"",""shape_ci_width"":0.7809732009819687,""truncation_fraction"":0.0,""validation_months"":[""2019-03"",""2019-04"",""2019-05"",""2019-06"",""2019-07""]}"
natural_tail,fixed_nonoverlapping_15min,Cement_1,O3_MAR_JUL_TO_AUG,"[""2019-03"", ""2019-04"", ""2019-05"", ""2019-06"", ""2019-07""]",2019-08,5,1464.064,1.1036311709506323,K-KDE,PASS,,,,,50000,0.9998132660552196,1.1248009252524331,1.1668443286328753,"{""bandwidth_kw"":0.04697375740192403,""boundary"":""reject_below_zero"",""center_kw"":0.9999999999999998,""rejection_batches"":1}"
natural_tail,fixed_nonoverlapping_15min,Cement_1,O3_MAR_JUL_TO_AUG,"[""2019-03"", ""2019-04"", ""2019-05"", ""2019-06"", ""2019-07""]",2019-08,5,1464.064,1.1036311709506323,K-POINT,PASS,,,,,50000,0.9999999999999999,0.9999999999999998,0.9999999999999998,"{""center"":""mean""}"
natural_tail,fixed_nonoverlapping_15min,Cement_1,O3_MAR_JUL_TO_AUG,"[""2019-03"", ""2019-04"", ""2019-05"", ""2019-06"", ""2019-07""]",2019-08,5,1464.064,1.1036311709506323,K-UGPD,PASS,0.9241126070991432,-0.41122289584298555,0.08151233926128108,11.6,50000,1.0581473206870224,1.1010899950333066,1.111365389079132,"{""bootstrap_ks_pvalue"":null,""bootstrap_successful"":null,""candidate_count"":12,""cluster_count"":58,""final_rejection_reasons"":[],""mean_validation_log_score"":-0.13160800210138418,""run_length_minutes"":30,""selected_threshold_quantile"":0.9,""selection_scheme"":""leave_one_training_month_out"",""shape_ci_width"":null,""truncation_fraction"":0.0,""validation_months"":[""2019-03"",""2019-04"",""2019-05"",""2019-06"",""2019-07""]}"
natural_tail,fixed_nonoverlapping_15min,Cement_1,O4_MAR_AUG_TO_SEP,"[""2019-03"", ""2019-04"", ""2019-05"", ""2019-06"", ""2019-07"", ""2019-08""]",2019-09,6,1489.351111111111,1.0207219251336899,K-BLOCK,PASS,,,,,50000,1.0683826002673795,1.0848930481283423,1.0848930481283423,"{""block_length_windows"":96,""blocks_per_draw"":30,""information_set"":""fixed_nonoverlapping_15min_natural_tail"",""moving_blocks_available"":16621,""target_windows"":2880}"
natural_tail,fixed_nonoverlapping_15min,Cement_1,O4_MAR_AUG_TO_SEP,"[""2019-03"", ""2019-04"", ""2019-05"", ""2019-06"", ""2019-07"", ""2019-08""]",2019-09,6,1489.351111111111,1.0207219251336899,K-EMP,PASS,,,,,50000,1.0000612098930481,1.0848930481283423,1.0848930481283423,"{""training_rows"":6}"
natural_tail,fixed_nonoverlapping_15min,Cement_1,O4_MAR_AUG_TO_SEP,"[""2019-03"", ""2019-04"", ""2019-05"", ""2019-06"", ""2019-07"", ""2019-08""]",2019-09,6,1489.351111111111,1.0207219251336899,K-GEV,PASS,,0.8263576183915997,0.024742158748671028,,50000,1.035279174372693,1.270118242897745,2.1995145858987946,"{""loc_kw"":0.9507260440829348,""scipy_shape_c"":-0.8263576183915997,""truncation_fraction"":0.0009}"
