tail_rate_per_month,replication_id,fit_status,xi_hat,count_model,survival_upper_limit,original_tail_integral,transformed_tail_integral,absolute_difference,relative_difference,original_integration_warning
1.0,25,PASS,0.9244647037650496,poisson,1.0,48686.68793854787,48686.687938547875,7.275957614183426e-12,1.4944449750550105e-16,False
1.0,25,PASS,0.9244647037650496,poisson,0.5,48293.13834618119,48293.13834618119,0.0,0.0,False
1.0,25,PASS,0.9244647037650496,poisson,0.1,45919.7699804035,45919.76998040349,7.275957614183426e-12,1.5844934801042077e-16,False
1.0,25,PASS,0.9244647037650496,poisson,0.01,39687.75070498105,39687.75070498105,0.0,0.0,False
1.0,25,PASS,0.9244647037650496,poisson,0.0001,28128.42970938051,28128.429709380518,7.275957614183426e-12,2.5866917170129034e-16,False
1.0,41,PASS,0.6385124978163432,negative_binomial,1.0,6799.841270578577,6799.841270563069,1.55077941599302e-08,2.2806112000090935e-12,False
1.0,41,PASS,0.6385124978163432,negative_binomial,0.5,6400.828098850277,6400.8280987681455,8.213100954890251e-08,1.2831309993266155e-11,False
1.0,41,PASS,0.6385124978163432,negative_binomial,0.1,4780.782937806002,4780.782937796823,9.179530024994165e-09,1.9200892708223354e-12,False
1.0,41,PASS,0.6385124978163432,negative_binomial,0.01,2321.2502344955183,2321.250234495119,3.992681740783155e-10,1.7200565804796047e-13,False
1.0,41,PASS,0.6385124978163432,negative_binomial,0.0001,445.44936967448837,445.4493696744877,6.821210263296962e-13,1.5313098923636516e-15,False
1.0,51,PASS,0.9489678933984882,poisson,1.0,67174.29998617677,67174.29998617677,0.0,0.0,False
1.0,51,PASS,0.9489678933984882,poisson,0.5,66790.56761839575,66790.56761839574,1.4551915228366852e-11,2.1787380684512856e-16,False
1.0,51,PASS,0.9489678933984882,poisson,0.1,64469.38951521223,64469.38951521221,1.4551915228366852e-11,2.257182104219116e-16,False
1.0,51,PASS,0.9489678933984882,poisson,0.01,58361.364215865804,58361.36421586582,1.4551915228366852e-11,2.4934158794750796e-16,False
1.0,51,PASS,0.9489678933984882,poisson,0.0001,46243.49091604758,46243.49091604758,0.0,0.0,False
1.0,63,PASS,0.8178798824825477,negative_binomial,1.0,18486.69225202852,18486.692252028522,3.637978807091713e-12,1.9678906088202566e-16,False
1.0,63,PASS,0.8178798824825477,negative_binomial,0.5,18069.42756116449,18069.42756116449,0.0,0.0,False
1.0,63,PASS,0.8178798824825477,negative_binomial,0.1,15878.543788759065,15878.543788759069,3.637978807091713e-12,2.2911287429689583e-16,False
1.0,63,PASS,0.8178798824825477,negative_binomial,0.01,11128.583564928142,11128.58356492814,1.8189894035458565e-12,1.6345201461922096e-16,False
1.0,63,PASS,0.8178798824825477,negative_binomial,0.0001,4849.976491208411,4849.976491208412,9.094947017729282e-13,1.8752558974699692e-16,False
1.0,81,PASS,0.7287568841669733,poisson,1.0,10428.68761917236,10428.687619182785,1.0424628271721303e-08,9.996107518405274e-13,False
1.0,81,PASS,0.7287568841669733,poisson,0.5,10031.841970292031,10031.841970296351,4.320099833421409e-09,4.3063874473032485e-13,False
1.0,81,PASS,0.7287568841669733,poisson,0.1,8161.586362875292,8161.586362875852,5.593392415903509e-10,6.853315234579711e-14,False
1.0,81,PASS,0.7287568841669733,poisson,0.01,4762.691675998336,4762.691675998366,3.001332515850663e-11,6.30175690560846e-15,False
1.0,81,PASS,0.7287568841669733,poisson,0.0001,1380.514444809156,1380.5144448091562,2.2737367544323206e-13,1.6470213426463962e-16,False
