scenario_id,method_id,metric,contrast,paired_replications,mean_difference,median_difference,ci95_low,ci95_high,bootstrap_replicates
SCALE_SHIFT_8000_TO_12000,GEV,mean_absolute_q99_error,shift_minus_stationary_target,200,0.01118469803463259,0.01043788544239835,-0.004190743993519659,0.026235765176427683,5000
SHAPE_SHIFT_005_TO_015,GEV,mean_absolute_q99_error,shift_minus_stationary_target,200,0.010683698098652678,0.019408253054328903,-0.006804423653291927,0.027606958105589878,5000
RATE_SHIFT_5_TO_30,GEV,action_accuracy,shift_minus_stationary_target,200,-0.17555555555555558,-0.11111111111111116,-0.1927777777777778,-0.15833333333333335,5000
SCALE_SHIFT_8000_TO_12000,GEV,action_accuracy,shift_minus_stationary_target,200,-0.05111111111111111,-0.11111111111111105,-0.06611111111111112,-0.036111111111111115,5000
SHAPE_SHIFT_005_TO_015,GEV,action_accuracy,shift_minus_stationary_target,200,0.007222222222222217,0.0,-0.007777777777777779,0.022777777777777772,5000
RATE_SHIFT_5_TO_30,KDE,mean_regret_cny,shift_minus_stationary_target,200,51002.17182442909,63529.44492404815,46148.562737495355,56066.623535522536,5000
SCALE_SHIFT_8000_TO_12000,KDE,mean_regret_cny,shift_minus_stationary_target,200,32409.34456456419,13967.644637483896,27328.922918746808,37457.236405638134,5000
SHAPE_SHIFT_005_TO_015,KDE,mean_regret_cny,shift_minus_stationary_target,200,15117.977322751754,4629.983441298413,11374.781158387572,19096.567681502213,5000
RATE_SHIFT_5_TO_30,KDE,mean_regret_over_oracle,shift_minus_stationary_target,200,0.010382500234818133,0.013333333333333322,0.009308678682772315,0.01143686265827549,5000
SCALE_SHIFT_8000_TO_12000,KDE,mean_regret_over_oracle,shift_minus_stationary_target,200,0.006510151207745532,0.0026625400888961883,0.005488604703428179,0.00755741389469671,5000
SHAPE_SHIFT_005_TO_015,KDE,mean_regret_over_oracle,shift_minus_stationary_target,200,0.0030850592906352036,0.0008847623111184334,0.002338709247588118,0.00388474846090888,5000
RATE_SHIFT_5_TO_30,KDE,mean_absolute_q99_error,shift_minus_stationary_target,200,0.018562400760761655,0.006600572121958567,0.001783488507439034,0.034639548158981515,5000
SCALE_SHIFT_8000_TO_12000,KDE,mean_absolute_q99_error,shift_minus_stationary_target,200,0.024974244598116258,0.007301692097467206,0.010271106842920898,0.039462772704858186,5000
SHAPE_SHIFT_005_TO_015,KDE,mean_absolute_q99_error,shift_minus_stationary_target,200,0.027929866115448006,0.009659020834379906,0.009988752227476054,0.04350621067087633,5000
RATE_SHIFT_5_TO_30,KDE,action_accuracy,shift_minus_stationary_target,200,-0.18666666666666668,-0.2222222222222222,-0.205,-0.16888888888888892,5000
SCALE_SHIFT_8000_TO_12000,KDE,action_accuracy,shift_minus_stationary_target,200,-0.07277777777777779,-0.11111111111111105,-0.08888888888888889,-0.056111111111111125,5000
SHAPE_SHIFT_005_TO_015,KDE,action_accuracy,shift_minus_stationary_target,200,-0.002222222222222232,0.0,-0.01944444444444445,0.015555555555555545,5000
RATE_SHIFT_5_TO_30,TAIL,mean_regret_cny,shift_minus_stationary_target,200,60136.21967281351,25422.999790892678,52955.85508565098,67405.20061112326,5000
SCALE_SHIFT_8000_TO_12000,TAIL,mean_regret_cny,shift_minus_stationary_target,200,36217.91164914305,19256.561517206228,30914.378848936543,41722.10682164465,5000
SHAPE_SHIFT_005_TO_015,TAIL,mean_regret_cny,shift_minus_stationary_target,200,21682.931730316588,9100.257388690592,17161.441744119915,26472.238273993215,5000
RATE_SHIFT_5_TO_30,TAIL,mean_regret_over_oracle,shift_minus_stationary_target,200,0.012019956974138171,0.004822441891488201,0.010522432158783408,0.01356132183997331,5000
SCALE_SHIFT_8000_TO_12000,TAIL,mean_regret_over_oracle,shift_minus_stationary_target,200,0.00722672544603852,0.003652532424139078,0.006118835567091619,0.008328337590519699,5000
SHAPE_SHIFT_005_TO_015,TAIL,mean_regret_over_oracle,shift_minus_stationary_target,200,0.0044268838549699095,0.0017250115146163836,0.003511134205199013,0.005378266529706656,5000
RATE_SHIFT_5_TO_30,TAIL,mean_absolute_q99_error,shift_minus_stationary_target,200,0.025774879054658705,0.03573881567340198,0.006644233257545031,0.043712897387335414,5000
SCALE_SHIFT_8000_TO_12000,TAIL,mean_absolute_q99_error,shift_minus_stationary_target,200,0.0059809282469825645,0.012276943578515005,-0.00720463005299159,0.01867274345034378,5000
SHAPE_SHIFT_005_TO_015,TAIL,mean_absolute_q99_error,shift_minus_stationary_target,200,0.029515524152145093,0.056688565703986726,0.014767559929319607,0.0435204105417002,5000
RATE_SHIFT_5_TO_30,TAIL,action_accuracy,shift_minus_stationary_target,200,-0.1666666666666667,-0.11111111111111116,-0.18222222222222229,-0.15111111111111114,5000
SCALE_SHIFT_8000_TO_12000,TAIL,action_accuracy,shift_minus_stationary_target,200,-0.04500000000000001,0.0,-0.060555555555555564,-0.029444444444444464,5000
SHAPE_SHIFT_005_TO_015,TAIL,action_accuracy,shift_minus_stationary_target,200,0.011666666666666659,0.0,-0.006666666666666669,0.028888888888888884,5000
