method_id,information_set,model_class,replications,median_abs_q99_error,mean_abs_q99_error,median_abs_mean_error,mean_abs_mean_error
EMP,monthly_maxima,empirical,1000,0.17010120276687318,0.18151698474364517,0.0294812171904412,0.03448023883114571
EVENT-EMP,event_level,nonparametric_event_maximum,1000,0.17010120276687318,0.18151698474364517,0.02673816761809405,0.03239324005368482
GEV,monthly_maxima,GEV,1000,0.12990337775722544,0.1592055179006714,0.0293772648598604,0.03428671537839418
KDE,monthly_maxima,Gaussian_KDE,1000,0.1406236162441321,0.15732819496706535,0.02948124667008285,0.034545973975437023
TAIL,event_level,GPD_count_pipeline,1000,0.10056022923839886,0.12222198346602621,0.0271250684228387,0.032269370015728376
