variant,measurement,factory,origin_id,train_months,test_month,train_month_count,normalization_kw,observed_normalized_max,method_id,fit_status,crps,qwcrps_090,draw_mean,draw_q95,draw_q99,q95_pinball,q99_pinball,q95_exceedance_brier,q99_exceedance_brier
all_observations,fixed_nonoverlapping_15min,Cement_1,O1_MAR_MAY_TO_JUN,"[""2019-03"", ""2019-04"", ""2019-05""]",2019-06,3,1401.2444444444445,1.0880994671403197,K-BLOCK,PASS,0.08489077881975138,0.014772921847246896,1.0005825079928952,1.006039076376554,1.006039076376554,0.0779573712255773,0.08123978685612793,0.9025,0.9801
all_observations,fixed_nonoverlapping_15min,Cement_1,O1_MAR_MAY_TO_JUN,"[""2019-03"", ""2019-04"", ""2019-05""]",2019-06,3,1401.2444444444445,1.0880994671403197,K-EMP,PASS,0.08502274548959153,0.014772921847246896,0.9999986429840142,1.006039076376554,1.006039076376554,0.0779573712255773,0.08123978685612793,0.9025,0.9801
all_observations,fixed_nonoverlapping_15min,Cement_1,O1_MAR_MAY_TO_JUN,"[""2019-03"", ""2019-04"", ""2019-05""]",2019-06,3,1401.2444444444445,1.0880994671403197,K-GEV,FALLBACK_EMPIRICAL,0.08502071317257555,0.014772921847246896,0.9999993037300179,1.006039076376554,1.006039076376554,0.0779573712255773,0.08123978685612793,0.9025,0.9801
all_observations,fixed_nonoverlapping_15min,Cement_1,O1_MAR_MAY_TO_JUN,"[""2019-03"", ""2019-04"", ""2019-05""]",2019-06,3,1401.2444444444445,1.0880994671403197,K-GTAIL,FALLBACK_EXPONENTIAL,0.04692672573670073,0.0007715908200679254,1.02506948399423,1.091355772864226,1.1380987740891033,0.00016281528619531708,0.0004999930694878367,0.0025000000000000005,0.0001
all_observations,fixed_nonoverlapping_15min,Cement_1,O1_MAR_MAY_TO_JUN,"[""2019-03"", ""2019-04"", ""2019-05""]",2019-06,3,1401.2444444444445,1.0880994671403197,K-KDE,PASS,0.0832834052822219,0.013412820742030235,1.0000600797671406,1.0132027201904557,1.0178535311588484,0.07115190960237083,0.06954347662165662,0.9025,0.9801
all_observations,fixed_nonoverlapping_15min,Cement_1,O1_MAR_MAY_TO_JUN,"[""2019-03"", ""2019-04"", ""2019-05""]",2019-06,3,1401.2444444444445,1.0880994671403197,K-POINT,PASS,0.08809946714031969,0.01586010657193605,1.0,1.0,1.0,0.0836944937833037,0.0872184724689165,0.9025,0.9801
all_observations,fixed_nonoverlapping_15min,Cement_1,O1_MAR_MAY_TO_JUN,"[""2019-03"", ""2019-04"", ""2019-05""]",2019-06,3,1401.2444444444445,1.0880994671403197,K-UGPD,PASS,0.08613743933604451,0.014763715587484513,0.9983489301968264,1.0060927112682245,1.0067750823838446,0.0779064180784904,0.08051114090891033,0.9025,0.9801
all_observations,fixed_nonoverlapping_15min,Cement_1,O2_MAR_JUN_TO_JUL,"[""2019-03"", ""2019-04"", ""2019-05"", ""2019-06""]",2019-07,4,1432.1066666666668,1.1115745568300313,K-BLOCK,PASS,0.08017835237163723,0.00844747132429615,1.0134902398331596,1.0646506777893638,1.0646506777893638,0.04457768508863404,0.04645464025026074,0.9025,0.9801
all_observations,fixed_nonoverlapping_15min,Cement_1,O2_MAR_JUN_TO_JUL,"[""2019-03"", ""2019-04"", ""2019-05"", ""2019-06""]",2019-07,4,1432.1066666666668,1.1115745568300313,K-EMP,PASS,0.09391664110364968,0.00844747132429615,0.9998784984358708,1.0646506777893638,1.0646506777893638,0.04457768508863404,0.04645464025026074,0.9025,0.9801
all_observations,fixed_nonoverlapping_15min,Cement_1,O2_MAR_JUN_TO_JUL,"[""2019-03"", ""2019-04"", ""2019-05"", ""2019-06""]",2019-07,4,1432.1066666666668,1.1115745568300313,K-GEV,FALLBACK_EMPIRICAL,0.09336068006715337,0.00844747132429615,1.0002422732012513,1.0646506777893638,1.0646506777893638,0.04457768508863404,0.04645464025026074,0.9025,0.9801
all_observations,fixed_nonoverlapping_15min,Cement_1,O2_MAR_JUN_TO_JUL,"[""2019-03"", ""2019-04"", ""2019-05"", ""2019-06""]",2019-07,4,1432.1066666666668,1.1115745568300313,K-GTAIL,FALLBACK_EMPIRICAL,0.09401765552659028,0.00844747132429615,0.9998015641293014,1.0646506777893638,1.0646506777893638,0.04457768508863404,0.04645464025026074,0.9025,0.9801
all_observations,fixed_nonoverlapping_15min,Cement_1,O2_MAR_JUN_TO_JUL,"[""2019-03"", ""2019-04"", ""2019-05"", ""2019-06""]",2019-07,4,1432.1066666666668,1.1115745568300313,K-KDE,PASS,0.08372426472385759,0.0031194766651504746,0.9997199828285515,1.0939280969358698,1.1251567629660477,0.016764136899453396,0.00013582206136016474,0.9025,0.0001
all_observations,fixed_nonoverlapping_15min,Cement_1,O2_MAR_JUN_TO_JUL,"[""2019-03"", ""2019-04"", ""2019-05"", ""2019-06""]",2019-07,4,1432.1066666666668,1.1115745568300313,K-POINT,PASS,0.11157455683003145,0.020086209593326406,0.9999999999999999,0.9999999999999998,0.9999999999999998,0.1059958289885299,0.11045881126173117,0.9025,0.9801
all_observations,fixed_nonoverlapping_15min,Cement_1,O2_MAR_JUN_TO_JUL,"[""2019-03"", ""2019-04"", ""2019-05"", ""2019-06""]",2019-07,4,1432.1066666666668,1.1115745568300313,K-UGPD,PASS,0.08580866028931969,0.004875036486894085,1.0108437440320663,1.0826786613203683,1.17678716717175,0.027451100734179834,0.0006521261034171883,0.9025,0.0001
