diagnostic,macro_auc,min_cell_auc,max_cell_auc,cells_with_both_classes
abs_mean_relative_error,0.5938510649945943,0.43542777755258427,0.910675378871074,9
abs_q99_relative_error,0.5617145275392894,0.3726073436502126,0.8627831466432389,9
abs_stoploss_relative_error,0.5942659973119133,0.44147856118104406,0.9046225931620178,9
d_mv,0.6059214221704371,0.4420104245283322,0.9310571784171608,9
