cell_id,policy_id,alpha,kappa,r_c_capacity_cny_per_kva_month,r_d_demand_cny_per_kw_month,delta,contract_upper_ratio,utilization,S_kva,oracle_mode,oracle_capacity_mode_value_cny_per_month,oracle_actual_demand_mode_value_cny_per_month,oracle_contract_demand_mode_value_cny_per_month,oracle_contract_D_kw,oracle_best_value_cny_per_month,oracle_second_best_mode,oracle_second_best_value_cny_per_month,oracle_margin_cny,capacity_to_demand_rate_ratio,natural_order_variable,natural_order_rank_within_policy,grid_status,analytic_S_kva,analytic_oracle_mode,analytic_oracle_best_value_cny,analytic_oracle_margin_cny,analytic_oracle_contract_D_kw,fixed_mc_mean_kw,analytic_mean_kw,mean_bias_fixed_mc_kw,fixed_mc_q99_kw,analytic_q99_kw,q99_bias_fixed_mc_kw,margin_change_cny,mode_changed
BASE_ACTUAL_NEAR,BASE_ALPHA105,1.05,2.0,22.5,36.0,0.4,1.0,0.62,239260.24937000457,actual_maximum_demand,5383355.610825103,5340288.765938502,5899666.80683357,135541.34682806453,5340288.765938502,capacity,5383355.610825103,43066.84488660097,0.625,utilization within policy_id,1,two policy families; not one common regular grid,239089.30885394482,actual_maximum_demand,5336473.373620048,43036.075593709946,135478.62626660542,148341.35460940283,148235.3714894458,105.98311995703261,265882.6799296469,265663.0100073709,219.66992227599258,-30.769292891025543,False
BASE_CAPACITY_NEAR,BASE_ALPHA105,1.05,2.0,22.5,36.0,0.4,1.0,0.63,235462.46763397276,capacity,5297905.521764386,5340288.765938502,5899666.80683357,135541.34682806453,5297905.521764386,actual_maximum_demand,5340288.765938502,42383.24417411536,0.625,utilization within policy_id,2,two policy families; not one common regular grid,235294.24045943777,capacity,5294120.41033735,42352.963282697834,135478.62626660542,148341.35460940283,148235.3714894458,105.98311995703261,265882.6799296469,265663.0100073709,219.66992227599258,-30.28089141752571,False
STRESS_ACTUAL_CLEAR,CONTRACT_ALPHA120,1.2,2.0,22.5,36.0,0.4,1.0,0.4,370853.3865235071,actual_maximum_demand,8344201.196778909,5340288.765938502,5660491.028476155,148341.35460940283,5340288.765938502,contracted_maximum_demand,5660491.028476155,320202.2625376536,0.625,utilization within policy_id,1,two policy families; not one common regular grid,370588.4287236145,actual_maximum_demand,5336473.373620048,318649.43913878035,148235.3714894458,148341.35460940283,148235.3714894458,105.98311995703261,265882.6799296469,265663.0100073709,219.66992227599258,-1552.8233988732682,False
STRESS_ACTUAL_NEAR,CONTRACT_ALPHA120,1.2,2.0,22.5,36.0,0.4,1.0,0.45,329647.45468756184,actual_maximum_demand,7417067.730470141,5340288.765938502,5347020.284164136,131858.98187502474,5340288.765938502,contracted_maximum_demand,5347020.284164136,6731.518225634471,0.625,utilization within policy_id,2,two policy families; not one common regular grid,329411.93664321286,actual_maximum_demand,5336473.373620048,4962.1142620984465,131764.77465728516,148341.35460940283,148235.3714894458,105.98311995703261,265882.6799296469,265663.0100073709,219.66992227599258,-1769.403963536024,False
STRESS_CONTRACT_NEAR_LOW,CONTRACT_ALPHA120,1.2,2.0,22.5,36.0,0.4,1.0,0.455,326024.9551855008,contracted_maximum_demand,7335561.491673767,5340288.765938502,5330193.046651879,130409.98207420028,5330193.046651879,actual_maximum_demand,5340288.765938502,10095.71928662248,0.625,utilization within policy_id,3,two policy families; not one common regular grid,325792.02525152924,contracted_maximum_demand,5324611.921627271,11861.451992777176,130316.8101006117,148341.35460940283,148235.3714894458,105.98311995703261,265882.6799296469,265663.0100073709,219.66992227599258,1765.7327061546966,False
STRESS_CONTRACT_CLEAR,CONTRACT_ALPHA120,1.2,2.0,22.5,36.0,0.4,1.0,0.625,237346.1673750445,contracted_maximum_demand,5340288.765938502,5340288.765938502,5281471.869730292,121886.04506405798,5281471.869730292,actual_maximum_demand,5340288.765938502,58816.89620820992,0.625,utilization within policy_id,4,two policy families; not one common regular grid,237176.59438311326,contracted_maximum_demand,5276065.102807532,60408.2708125161,121825.7341727639,148341.35460940283,148235.3714894458,105.98311995703261,265882.6799296469,265663.0100073709,219.66992227599258,1591.3746043061838,False
STRESS_CONTRACT_NEAR_HIGH,CONTRACT_ALPHA120,1.2,2.0,22.5,36.0,0.4,1.0,0.63,235462.46763397276,contracted_maximum_demand,5297905.521764386,5340288.765938502,5281471.869730292,121886.04506405798,5281471.869730292,capacity,5297905.521764386,16433.652034094557,0.625,utilization within policy_id,5,two policy families; not one common regular grid,235294.24045943777,contracted_maximum_demand,5276065.102807532,18055.307529818267,121825.7341727639,148341.35460940283,148235.3714894458,105.98311995703261,265882.6799296469,265663.0100073709,219.66992227599258,1621.6554957237095,False
STRESS_CAPACITY_NEAR,CONTRACT_ALPHA120,1.2,2.0,22.5,36.0,0.4,1.0,0.635,233608.43245575248,capacity,5256189.730254431,5340288.765938502,5281471.869730292,121886.04506405798,5256189.730254431,contracted_maximum_demand,5281471.869730292,25282.139475860637,0.625,utilization within policy_id,6,two policy families; not one common regular grid,233441.52990463906,capacity,5252434.422854379,23630.679953153245,121825.7341727639,148341.35460940283,148235.3714894458,105.98311995703261,265882.6799296469,265663.0100073709,219.66992227599258,-1651.4595227073914,False
STRESS_CAPACITY_CLEAR,CONTRACT_ALPHA120,1.2,2.0,22.5,36.0,0.4,1.0,0.7,211916.2208705755,capacity,4768114.969587948,5340288.765938502,5281471.869730292,121886.04506405798,4768114.969587948,contracted_maximum_demand,5281471.869730292,513356.9001423437,0.625,utilization within policy_id,7,two policy families; not one common regular grid,211764.816413494,capacity,4764708.369303615,511356.73350391723,121825.7341727639,148341.35460940283,148235.3714894458,105.98311995703261,265882.6799296469,265663.0100073709,219.66992227599258,-2000.1666384264827,False
