tail_rate_per_month,replication_id,method_id,q99_error,regret,accuracy,fit_status
0.2,0,EMP,-0.2931087229891007,6.9557447066e-05,1.0,PASS
0.2,0,EVENT-EMP,-0.2931087229891007,5.1804230077873393e-05,1.0,PASS
0.2,0,GEV,-0.2579967598487994,0.0002874536357330857,1.0,PASS_LMOM_FINITE_MEAN
0.2,0,KDE,-0.2845478872795657,0.0021598835307725713,1.0,PASS
0.2,0,TAIL,-0.3249255134195952,0.0022193615625970857,1.0,PASS
0.2,1,EMP,0.0063466155443299,1.463956687265818e-07,1.0,PASS
0.2,1,EVENT-EMP,0.0063466155443299,1.695168852688292e-07,1.0,PASS
0.2,1,GEV,-0.2415001244458498,2.2467455020618494e-05,1.0,PASS_LMOM_FINITE_MEAN
0.2,1,KDE,0.0363029129676045,0.007066196442642143,0.8571428571428571,PASS
0.2,1,TAIL,-0.3221815300546511,0.0051841380825862855,1.0,FALLBACK_EXPONENTIAL
0.2,2,EMP,-0.3271597934185325,0.00011675426107211429,1.0,PASS
0.2,2,EVENT-EMP,-0.3271597934185325,2.303939052698368e-05,1.0,PASS
0.2,2,GEV,-0.3326174721987755,0.0002260989384793714,1.0,PASS_LMOM_FINITE_MEAN
0.2,2,KDE,-0.3240329403256246,2.7027554678871282e-05,1.0,PASS
0.2,2,TAIL,-0.3273059531071225,0.0039674662679352,1.0,FALLBACK_EXPONENTIAL
0.2,3,EMP,-0.1208698329988826,2.537775665495338e-05,1.0,PASS
0.2,3,EVENT-EMP,-0.1208698329988826,2.537775665495338e-05,1.0,PASS
0.2,3,GEV,-0.1226706440411035,0.0016078876678426285,1.0,PASS_LMOM_FINITE_MEAN
0.2,3,KDE,-0.0990162182466146,0.009116582246565572,0.8571428571428571,PASS
0.2,3,TAIL,-0.2899014142099249,0.0031600438017602857,1.0,PASS
0.2,4,EMP,-0.0935331257918804,1.0169430720423857e-07,1.0,PASS
0.2,4,EVENT-EMP,-0.0935331257918804,2.525400011914186e-07,1.0,PASS
0.2,4,GEV,-0.1447895902026743,0.00048007996185765717,1.0,PASS_LMOM_FINITE_MEAN
0.2,4,KDE,-0.0684488781304317,0.008284540993833958,0.8571428571428571,PASS
0.2,4,TAIL,-0.2942262168166992,0.0032636189914733715,1.0,PASS
0.2,5,EMP,-0.1936684071832123,1.1437283624822663e-05,1.0,PASS
0.2,5,EVENT-EMP,-0.1936684071832123,1.1437283624822663e-05,1.0,PASS
0.2,5,GEV,-0.2395118780076502,1.8732474413095223e-05,1.0,PASS_LMOM_FINITE_MEAN
0.2,5,KDE,-0.1783324772550337,0.0035133489871213143,1.0,PASS
0.2,5,TAIL,-0.3191440162659479,0.0024529320014498287,1.0,PASS
0.2,6,EMP,-0.0458945515618765,2.251373242968453e-06,1.0,PASS
