cell_id,alpha,utilization,oracle_mode,method_id,mean_regret,p95_regret,accuracy,mean_cny
A105_U640,1.05,0.64,capacity,GEV,0.007631999999999969,0.0239999999999999,0.682,39773.4031127618
A105_U640,1.05,0.64,capacity,KDE,0.007631999999999969,0.0239999999999999,0.682,39773.4031127618
A105_U640,1.05,0.64,capacity,TAIL,0.007631999999999969,0.0239999999999999,0.682,39773.4031127618
A105_U660,1.05,0.66,capacity,EMP,0.00532,0.056,0.905,26884.506011040416
A105_U660,1.05,0.66,capacity,EVENT-EMP,0.005600000000000001,0.056,0.9,28299.48001162149
A105_U660,1.05,0.66,capacity,GEV,0.00532,0.056,0.905,26884.506011040416
A105_U660,1.05,0.66,capacity,KDE,0.00532,0.056,0.905,26884.506011040416
A105_U660,1.05,0.66,capacity,TAIL,0.0052640000000000004,0.056,0.906,26601.5112109242
A105_U680,1.05,0.68,capacity,EMP,0.0012319999999999987,0.0,0.986,6042.771320128582
A105_U680,1.05,0.68,capacity,EVENT-EMP,0.0014079999999999984,0.0,0.984,6906.024365861237
A105_U680,1.05,0.68,capacity,GEV,0.0012319999999999987,0.0,0.986,6042.771320128582
A105_U680,1.05,0.68,capacity,KDE,0.0012319999999999987,0.0,0.986,6042.771320128582
A105_U680,1.05,0.68,capacity,TAIL,0.0013199999999999985,0.0,0.985,6474.397842994909
A105_U700,1.05,0.7,capacity,EMP,0.0002399999999999998,0.0,0.998,1143.5300086328666
A105_U700,1.05,0.7,capacity,EVENT-EMP,0.0,0.0,1.0,0.0
A105_U700,1.05,0.7,capacity,GEV,0.0002399999999999998,0.0,0.998,1143.5300086328666
A105_U700,1.05,0.7,capacity,KDE,0.0002399999999999998,0.0,0.998,1143.5300086328666
A105_U700,1.05,0.7,capacity,TAIL,0.0001199999999999999,0.0,0.999,571.7650043164333
A105_U720,1.05,0.72,capacity,EMP,0.0,0.0,1.0,0.0
A105_U720,1.05,0.72,capacity,EVENT-EMP,0.0,0.0,1.0,0.0
A105_U720,1.05,0.72,capacity,GEV,0.0,0.0,1.0,0.0
A105_U720,1.05,0.72,capacity,KDE,0.0,0.0,1.0,0.0
A105_U720,1.05,0.72,capacity,TAIL,0.0,0.0,1.0,0.0
A105_U740,1.05,0.74,capacity,EMP,0.0,0.0,1.0,0.0
A105_U740,1.05,0.74,capacity,EVENT-EMP,0.0,0.0,1.0,0.0
A105_U740,1.05,0.74,capacity,GEV,0.0,0.0,1.0,0.0
A105_U740,1.05,0.74,capacity,KDE,0.0,0.0,1.0,0.0
A105_U740,1.05,0.74,capacity,TAIL,0.0,0.0,1.0,0.0
A105_U760,1.05,0.76,capacity,EMP,0.0,0.0,1.0,0.0
A105_U760,1.05,0.76,capacity,EVENT-EMP,0.0,0.0,1.0,0.0
A105_U760,1.05,0.76,capacity,GEV,0.0,0.0,1.0,0.0
A105_U760,1.05,0.76,capacity,KDE,0.0,0.0,1.0,0.0
A105_U760,1.05,0.76,capacity,TAIL,0.0,0.0,1.0,0.0
A110_U400,1.1,0.4,actual_maximum_demand,EMP,0.0,0.0,1.0,0.0
A110_U400,1.1,0.4,actual_maximum_demand,EVENT-EMP,0.0,0.0,1.0,0.0
A110_U400,1.1,0.4,actual_maximum_demand,GEV,0.0,0.0,1.0,0.0
A110_U400,1.1,0.4,actual_maximum_demand,KDE,0.0,0.0,1.0,0.0
A110_U400,1.1,0.4,actual_maximum_demand,TAIL,0.0,0.0,1.0,0.0
A110_U420,1.1,0.42,actual_maximum_demand,EMP,7.53854802121068e-05,0.0,0.999,402.29260790946887
A110_U420,1.1,0.42,actual_maximum_demand,EVENT-EMP,0.0,0.0,1.0,0.0
A110_U420,1.1,0.42,actual_maximum_demand,GEV,7.53854802121068e-05,0.0,0.999,402.29260790946887
A110_U420,1.1,0.42,actual_maximum_demand,KDE,0.0,0.0,1.0,0.0
A110_U420,1.1,0.42,actual_maximum_demand,TAIL,0.0,0.0,1.0,0.0
A110_U440,1.1,0.44,actual_maximum_demand,EMP,0.0003241715159879195,0.0,0.995,1729.9326635555783
A110_U440,1.1,0.44,actual_maximum_demand,EVENT-EMP,0.0001296686063951678,0.0,0.998,691.9730654222313
A110_U440,1.1,0.44,actual_maximum_demand,GEV,0.0001296686063951678,0.0,0.998,691.9730654222313
A110_U440,1.1,0.44,actual_maximum_demand,KDE,6.48343031975839e-05,0.0,0.999,345.9865327111157
A110_U440,1.1,0.44,actual_maximum_demand,TAIL,0.0,0.0,1.0,0.0
A110_U460,1.1,0.46,actual_maximum_demand,EMP,0.0008837693312670708,0.0,0.986,4716.211504728722
A110_U460,1.1,0.46,actual_maximum_demand,EVENT-EMP,0.00031563053806102543,0.0,0.995,1684.3539622640321
A110_U460,1.1,0.46,actual_maximum_demand,GEV,0.0005054184361033818,0.0,0.992,2697.1520268023833
A110_U460,1.1,0.46,actual_maximum_demand,KDE,0.0001267661376661054,0.0,0.998,676.4841183318254
A110_U460,1.1,0.46,actual_maximum_demand,TAIL,0.0001261852965659152,0.0,0.998,673.384475266356
A110_U480,1.1,0.48,actual_maximum_demand,EMP,0.0010988414471109925,0.0,0.983,5863.938124337938
