factory,method_id,crps,qwcrps_090,q95_pinball,q99_pinball,q95_exceedance_brier,q99_exceedance_brier
Cement_1,K-BLOCK,0.057847357789183797,0.0066996211548846253,0.035311872108234027,0.036123202270742276,0.67749999999999999,0.73509999999999998
Cement_1,K-EMP,0.069925850648121804,0.0066996211548846253,0.035311872108234027,0.036123202270742276,0.67749999999999999,0.73509999999999998
Cement_1,K-GEV,0.07212688008024104,0.0070954034647222747,0.037627187042851548,0.038909756115168399,0.67749999999999999,0.73509999999999998
Cement_1,K-GTAIL,0.049857884546346654,0.0025425802475391749,0.012478955093758175,0.012146712723091476,0.22749999999999998,0.24509999999999998
Cement_1,K-KDE,0.064644648857564255,0.0044293630709692248,0.023617044925041752,0.017954679087721699,0.45249999999999996,0.24509999999999998
Cement_1,K-POINT,0.081006780013668345,0.014583245571960625,0.076956441012984975,0.080196712213531696,0.90249999999999997,0.98009999999999997
Cement_1,K-UGPD,0.068319109479336143,0.0066994957757559748,0.035824578996684474,0.024623082732998049,0.67749999999999999,0.24509999999999998
Cement_2,K-BLOCK,0.035480067603116873,0.0016534005317621748,0.0082877219637203254,0.0016575443927440499,0.0025000000000000001,0.0001
Cement_2,K-EMP,0.035659277194735897,0.0016534005317621748,0.0082877219637203254,0.0016575443927440499,0.0025000000000000001,0.0001
Cement_2,K-GEV,0.037384947775395798,0.002608401721567225,0.013757460222879776,0.0075965431681188997,0.0025000000000000001,0.0001
Cement_2,K-GTAIL,0.030056424356295401,0.001380189596898,0.0077207967278654002,0.003179812527713675,0.0025000000000000001,0.0001
Cement_2,K-KDE,0.037717338817997721,0.0022275634580508001,0.0118345012102601,0.0030968963890039749,0.0025000000000000001,0.0001
Cement_2,K-POINT,0.053294265530726102,0.0027193729356969499,0.014243580511615474,0.013141042533504574,0.22749999999999998,0.24509999999999998
Cement_2,K-UGPD,0.030086217944564175,0.0014477891510976,0.0081087202054529253,0.0033766532858909501,0.0025000000000000001,0.0001
Forge_1,K-BLOCK,0.029271433816946552,0.00077187791928814997,0.0038690622520711751,0.00077381245041419999,0.0025000000000000001,0.0001
Forge_1,K-EMP,0.032923257941474798,0.00077187791928814997,0.0038690622520711751,0.00077381245041419999,0.0025000000000000001,0.0001
Forge_1,K-GEV,0.032511136483279503,0.00076116425247672501,0.0038347703023748499,0.00077732473583314997,0.0025000000000000001,0.0001
Forge_1,K-GTAIL,0.031711154054490223,0.00071668184239957505,0.0037033302733294748,0.00085534404725115011,0.0025000000000000001,0.0001
Forge_1,K-KDE,0.031696966386863923,0.00096761406599069999,0.0050497136165952748,0.0012396464074690499,0.0025000000000000001,0.0001
Forge_1,K-POINT,0.036476438147453522,0.00036385247052083173,0.0018238219073726219,0.00036476438147450439,0.0025000000000000001,0.0001
