replication_id,EMP,EVENT-EMP,history_upper_endpoint_kw
124,231045.41966132051,231045.41966132051,231045.41966132048
125,206974.23329402745,206974.23329402745,206974.23329402745
126,200857.92381450013,200857.92381450013,200857.92381450013
127,208414.02191068971,208414.02191068971,208414.02191068968
128,202408.88075782001,202408.88075782001,202408.88075782001
129,257074.13611479863,257074.13611479863,257074.13611479863
130,188141.06638275285,188141.06638275285,188141.06638275285
131,279108.07428204338,279108.07428204338,279108.07428204338
132,279747.26489482907,279747.26489482907,279747.26489482907
133,236021.45454615969,236021.45454615969,236021.45454615969
134,225973.52065497884,225973.52065497884,225973.52065497884
135,184827.56504703348,184827.56504703348,184827.56504703348
136,281895.1826170258,281895.1826170258,281895.1826170258
137,367727.5549730616,367727.5549730616,367727.5549730616
138,183480.75488897011,183480.75488897011,183480.75488897011
139,235745.14784779371,235745.14784779371,235745.14784779368
140,188322.53659536509,188322.53659536509,188322.53659536509
141,214643.9086768711,214643.9086768711,214643.9086768711
142,196720.52677097352,196720.52677097352,196720.52677097352
143,222377.96424555039,222377.96424555039,222377.96424555039
144,209791.12233613359,209791.12233613359,209791.12233613359
145,194245.37402158653,194245.37402158653,194245.37402158653
146,230697.71634481891,230697.71634481891,230697.71634481891
147,284867.59853372118,284867.59853372118,284867.59853372118
148,213677.27030668009,213677.27030668009,213677.27030668009
149,212722.13489509889,212722.13489509889,212722.13489509892
150,237626.33116835449,237626.33116835449,237626.33116835449
151,255145.5393665868,255145.5393665868,255145.5393665868
152,264299.27586693247,264299.27586693247,264299.27586693247
153,214350.81776393024,214350.81776393024,214350.81776393024
154,273360.16130622057,273360.16130622057,273360.16130622057
155,200021.44707367383,200021.44707367383,200021.44707367383
156,187468.65410952023,187468.65410952023,187468.65410952023
157,238160.9188140895,238160.9188140895,238160.9188140895
158,232754.66074759536,232754.66074759536,232754.66074759536
159,267268.06473024178,267268.06473024178,267268.06473024178
160,198703.26571116532,198703.26571116532,198703.26571116535
161,213030.0339626772,213030.0339626772,213030.0339626772
162,226350.26190373409,226350.26190373409,226350.26190373409
163,192322.41428638253,192322.41428638253,192322.41428638255
164,230651.56660366763,230651.56660366763,230651.56660366763
165,203293.80190498248,203293.80190498248,203293.80190498248
166,204031.1955360109,204031.1955360109,204031.1955360109
167,218639.41903915777,218639.41903915777,218639.41903915777
168,241356.36649622649,241356.36649622649,241356.36649622649
169,194334.02134190543,194334.02134190543,194334.02134190543
170,208252.67416121924,208252.67416121924,208252.67416121924
171,285740.62985664548,285740.62985664548,285740.62985664548
172,226359.65845143469,226359.65845143469,226359.65845143469
173,212527.92921459847,212527.92921459847,212527.92921459852
174,205001.88962200296,205001.88962200296,205001.88962200296
175,180259.95333834947,180259.95333834947,180259.95333834947
176,176126.64184113406,176126.64184113406,176126.64184113406
177,233561.51578664139,233561.51578664139,233561.51578664136
178,229015.38053340919,229015.38053340919,229015.38053340919
179,236207.04229817761,236207.04229817761,236207.04229817761
180,236762.24606092769,236762.24606092769,236762.24606092772
181,303784.47317736025,303784.47317736025,303784.47317736025
182,231872.41846653644,231872.41846653644,231872.41846653644
183,424520.7937984966,424520.7937984966,424520.7937984966
184,190520.59341776944,190520.59341776944,190520.59341776944
185,186231.24271324571,186231.24271324571,186231.24271324571
186,327021.23966614384,327021.23966614384,327021.23966614384
187,202842.78827436813,202842.78827436813,202842.78827436813
188,251069.92614761568,251069.92614761568,251069.92614761568
189,164531.1395082486,164531.1395082486,164531.1395082486
190,304006.22564149619,304006.22564149619,304006.22564149619
191,265545.76444456074,265545.76444456074,265545.76444456074
192,302526.65157702391,302526.65157702391,302526.65157702391
193,235936.79299246141,235936.79299246141,235936.79299246141
194,193573.65911081608,193573.65911081608,193573.65911081608
195,223541.97142014399,223541.97142014399,223541.97142014396
196,279774.3381627599,279774.3381627599,279774.3381627599
197,233280.6797375528,233280.6797375528,233280.6797375528
198,301065.83890566602,301065.83890566602,301065.83890566602
199,254611.18131057511,254611.18131057511,254611.18131057511
200,218296.07504507271,218296.07504507271,218296.07504507271
201,228403.86838462559,228403.86838462559,228403.86838462559
202,237073.35632530009,237073.35632530009,237073.35632530012
203,199467.93284830271,199467.93284830271,199467.93284830271
204,196813.09383022925,196813.09383022925,196813.09383022925
205,307177.369392636,307177.369392636,307177.369392636
206,243568.14501339849,243568.14501339849,243568.14501339852
207,250180.39731889035,250180.39731889035,250180.39731889035
208,192956.42637424785,192956.42637424785,192956.42637424785
209,202865.12423311191,202865.12423311191,202865.12423311191
210,198332.79122356008,198332.79122356008,198332.79122356008
211,318806.18309215381,318806.18309215381,318806.18309215381
212,290074.28101614665,290074.28101614665,290074.28101614665
213,289421.39944841235,289421.39944841235,289421.39944841235
214,252894.1646475544,252894.1646475544,252894.1646475544
215,243317.65919322649,243317.65919322649,243317.65919322649
216,258961.93738810983,258961.93738810983,258961.93738810983
217,196853.85699385469,196853.85699385469,196853.85699385469
218,187442.77804060103,187442.77804060103,187442.77804060103
219,205182.24182142288,205182.24182142288,205182.24182142288
220,306103.78897203301,306103.78897203301,306103.78897203301
221,210038.98351870675,210038.98351870675,210038.98351870675
222,269442.84107902017,269442.84107902017,269442.84107902017
223,210121.18294101919,210121.18294101919,210121.18294101919
224,236169.17393225781,236169.17393225781,236169.17393225781
225,271751.01022761239,271751.01022761239,271751.01022761239
226,248019.11734728003,248019.11734728003,248019.11734728003
227,234259.96061345181,234259.96061345181,234259.96061345181
228,222411.27045772484,222411.27045772484,222411.27045772484
229,250112.795791343,250112.795791343,250112.795791343
230,205231.54502413343,205231.54502413343,205231.54502413343
231,232963.90143471729,232963.90143471729,232963.90143471729
232,186618.63834964321,186618.63834964321,186618.63834964321
233,260701.46092223737,260701.46092223737,260701.46092223737
234,221033.55910886903,221033.55910886903,221033.55910886903
235,243074.79301191459,243074.79301191459,243074.79301191456
236,271853.65409465221,271853.65409465221,271853.65409465221
237,256984.12371083,256984.12371083,256984.12371083
238,224846.37799072129,224846.37799072129,224846.37799072129
239,221928.86704445089,221928.86704445089,221928.86704445089
240,191961.47108713721,191961.47108713721,191961.47108713721
241,199131.71483950707,199131.71483950707,199131.71483950707
242,197315.68740671489,197315.68740671489,197315.68740671492
243,234597.56523766619,234597.56523766619,234597.56523766616
244,214659.11940824345,214659.11940824345,214659.11940824345
245,204872.03316889817,204872.03316889817,204872.03316889817
246,236128.58733980512,236128.58733980512,236128.58733980512
247,192155.54706554959,192155.54706554959,192155.54706554956
248,229057.53315956501,229057.53315956501,229057.53315956501
249,266019.47409625363,266019.47409625363,266019.47409625363
