alpha,utilization,contrast,mean_difference_cny
1.15,0.6,GEV-minus-KDE,21327.160348755766
1.15,0.62,GEV-minus-KDE,19473.994853373242
1.15,0.64,GEV-minus-KDE,16453.865800365762
1.15,0.66,GEV-minus-KDE,15008.995411191048
1.15,0.68,GEV-minus-KDE,11553.431544676123
1.15,0.7,GEV-minus-KDE,5518.654694329805
1.15,0.72,GEV-minus-KDE,19.471954815145523
1.15,0.74,GEV-minus-KDE,0.0
1.15,0.76,GEV-minus-KDE,0.0
1.2,0.4,TAIL-minus-KDE,-637.2988782775607
1.2,0.42,TAIL-minus-KDE,-7398.051902209759
1.2,0.44,TAIL-minus-KDE,695.4788857634485
1.2,0.46,TAIL-minus-KDE,-7330.8474338177275
1.2,0.48,TAIL-minus-KDE,-19384.96337970895
1.2,0.5,TAIL-minus-KDE,-18717.61627890652
1.2,0.52,TAIL-minus-KDE,-16904.371717082475
1.2,0.54,TAIL-minus-KDE,-18375.35404869733
1.2,0.56,TAIL-minus-KDE,-19792.41361186429
1.2,0.58,TAIL-minus-KDE,-25804.161171616703
1.2,0.6,TAIL-minus-KDE,-21238.321198220445
1.2,0.62,TAIL-minus-KDE,-15673.212882116495
1.2,0.64,TAIL-minus-KDE,5054.032306093948
1.2,0.66,TAIL-minus-KDE,20255.564443726696
1.2,0.68,TAIL-minus-KDE,17470.405879095873
1.2,0.7,TAIL-minus-KDE,15600.089285037455
1.2,0.72,TAIL-minus-KDE,6310.261023040575
1.2,0.74,TAIL-minus-KDE,3361.782974843628
1.2,0.76,TAIL-minus-KDE,0.0
1.2,0.4,GEV-minus-KDE,1274.5977565551211
1.2,0.42,GEV-minus-KDE,6433.088610617182
1.2,0.44,GEV-minus-KDE,6443.365128229132
1.2,0.46,GEV-minus-KDE,-4472.573868739186
1.2,0.48,GEV-minus-KDE,-12330.644462617187
1.2,0.5,GEV-minus-KDE,-12824.146879265725
1.2,0.52,GEV-minus-KDE,-10021.30489458912
1.2,0.54,GEV-minus-KDE,-10187.944152661079
1.2,0.56,GEV-minus-KDE,-9966.079805670852
1.2,0.58,GEV-minus-KDE,-12371.082018465873
1.2,0.6,GEV-minus-KDE,-11959.951341175518
1.2,0.62,GEV-minus-KDE,-9183.27873288867
1.2,0.64,GEV-minus-KDE,6745.611890483538
1.2,0.66,GEV-minus-KDE,23003.360556471183
1.2,0.68,GEV-minus-KDE,24270.45808454627
1.2,0.7,GEV-minus-KDE,18909.761639026692
1.2,0.72,GEV-minus-KDE,5654.955289664133
1.2,0.74,GEV-minus-KDE,2478.7698021173
1.2,0.76,GEV-minus-KDE,1006.6913743660244
