mode_pair,rank,side,oracle_mode,cell_id,contrast,relative_gap,estimate
actual_maximum_demand / contracted_maximum_demand,2,left,actual_maximum_demand,A120_U440,GEV-minus-KDE,0.23246836191030501,6443.3651282291321
actual_maximum_demand / contracted_maximum_demand,2,right,contracted_maximum_demand,A120_U500,GEV-minus-KDE,0.23246836191030501,-12824.146879265729
actual_maximum_demand / contracted_maximum_demand,3,left,actual_maximum_demand,A120_U440,TAIL-minus-KDE,0.23246836191030501,695.47888576344667
actual_maximum_demand / contracted_maximum_demand,3,right,contracted_maximum_demand,A120_U520,TAIL-minus-KDE,0.23246836191030501,-16904.371717082475
actual_maximum_demand / contracted_maximum_demand,3,left,actual_maximum_demand,A120_U440,GEV-minus-KDE,0.23246836191030501,6443.3651282291321
actual_maximum_demand / contracted_maximum_demand,3,right,contracted_maximum_demand,A120_U520,GEV-minus-KDE,0.23246836191030501,-10021.304894589117
actual_maximum_demand / contracted_maximum_demand,4,left,actual_maximum_demand,A120_U440,TAIL-minus-KDE,0.23246836191030501,695.47888576344667
actual_maximum_demand / contracted_maximum_demand,4,right,contracted_maximum_demand,A120_U540,TAIL-minus-KDE,0.23246836191030501,-18375.354048697329
actual_maximum_demand / contracted_maximum_demand,4,left,actual_maximum_demand,A120_U440,GEV-minus-KDE,0.23246836191030501,6443.3651282291321
actual_maximum_demand / contracted_maximum_demand,4,right,contracted_maximum_demand,A120_U540,GEV-minus-KDE,0.23246836191030501,-10187.944152661075
actual_maximum_demand / contracted_maximum_demand,5,left,actual_maximum_demand,A120_U440,TAIL-minus-KDE,0.23246836191030501,695.47888576344667
actual_maximum_demand / contracted_maximum_demand,5,right,contracted_maximum_demand,A120_U560,TAIL-minus-KDE,0.23246836191030501,-19792.413611864289
actual_maximum_demand / contracted_maximum_demand,5,left,actual_maximum_demand,A120_U440,GEV-minus-KDE,0.23246836191030501,6443.3651282291321
actual_maximum_demand / contracted_maximum_demand,5,right,contracted_maximum_demand,A120_U560,GEV-minus-KDE,0.23246836191030501,-9966.0798056708518
actual_maximum_demand / contracted_maximum_demand,6,left,actual_maximum_demand,A120_U440,TAIL-minus-KDE,0.23246836191030501,695.47888576344667
actual_maximum_demand / contracted_maximum_demand,6,right,contracted_maximum_demand,A120_U580,TAIL-minus-KDE,0.23246836191030501,-25804.161171616703
actual_maximum_demand / contracted_maximum_demand,6,left,actual_maximum_demand,A120_U440,GEV-minus-KDE,0.23246836191030501,6443.3651282291321
actual_maximum_demand / contracted_maximum_demand,6,right,contracted_maximum_demand,A120_U580,GEV-minus-KDE,0.23246836191030501,-12371.082018465873
actual_maximum_demand / contracted_maximum_demand,7,left,actual_maximum_demand,A120_U440,TAIL-minus-KDE,0.23246836191030501,695.47888576344667
actual_maximum_demand / contracted_maximum_demand,7,right,contracted_maximum_demand,A120_U600,TAIL-minus-KDE,0.23246836191030501,-21238.321198220445
actual_maximum_demand / contracted_maximum_demand,7,left,actual_maximum_demand,A120_U440,GEV-minus-KDE,0.23246836191030501,6443.3651282291321
actual_maximum_demand / contracted_maximum_demand,7,right,contracted_maximum_demand,A120_U600,GEV-minus-KDE,0.23246836191030501,-11959.951341175518
actual_maximum_demand / contracted_maximum_demand,8,left,actual_maximum_demand,A120_U440,TAIL-minus-KDE,0.23246836191030501,695.47888576344667
actual_maximum_demand / contracted_maximum_demand,8,right,contracted_maximum_demand,A120_U620,TAIL-minus-KDE,0.23246836191030501,-15673.212882116495
actual_maximum_demand / contracted_maximum_demand,8,left,actual_maximum_demand,A120_U440,GEV-minus-KDE,0.23246836191030501,6443.3651282291321
actual_maximum_demand / contracted_maximum_demand,8,right,contracted_maximum_demand,A120_U620,GEV-minus-KDE,0.23246836191030501,-9183.278732888677
actual_maximum_demand / contracted_maximum_demand,9,left,actual_maximum_demand,A105_U620,TAIL-minus-KDE,0.2617124506652086,-1678.4069481546885
actual_maximum_demand / contracted_maximum_demand,9,right,contracted_maximum_demand,A120_U480,TAIL-minus-KDE,0.2617124506652086,-19384.963379708948
actual_maximum_demand / contracted_maximum_demand,9,left,actual_maximum_demand,A105_U620,GEV-minus-KDE,0.2617124506652086,-43.036075593710848
actual_maximum_demand / contracted_maximum_demand,9,right,contracted_maximum_demand,A120_U480,GEV-minus-KDE,0.2617124506652086,-12330.644462617187
actual_maximum_demand / contracted_maximum_demand,10,left,actual_maximum_demand,A110_U620,TAIL-minus-KDE,0.2617124506652086,-1309.4907811550001
actual_maximum_demand / contracted_maximum_demand,10,right,contracted_maximum_demand,A120_U480,TAIL-minus-KDE,0.2617124506652086,-19384.963379708948
actual_maximum_demand / contracted_maximum_demand,10,left,actual_maximum_demand,A110_U620,GEV-minus-KDE,0.2617124506652086,2855.6345998622965
