metric,oracle_mode,contrast,same_information_set,estimate,percentile_ci95_low,percentile_ci95_high,replications
regret_cny_per_month,actual_maximum_demand,TAIL-minus-EVENT-EMP,True,-642.95712368934824,-1218.5484846891668,-200.22357183997579,1000
regret_cny_per_month,actual_maximum_demand,TAIL-minus-GEV,False,-1345.6446355501748,-2028.8013668522767,-730.16337082718792,1000
regret_cny_per_month,actual_maximum_demand,TAIL-minus-KDE,False,-470.99624231858581,-953.7628852983936,-58.049421995900815,1000
regret_cny_per_month,actual_maximum_demand,TAIL-minus-EMP,False,-1824.6652465996719,-2602.043760380413,-1110.6245111852372,1000
regret_cny_per_month,actual_maximum_demand,GEV-minus-KDE,True,874.64839323158901,485.01050006047768,1369.0238223597337,1000
regret_cny_per_month,actual_maximum_demand,GEV-minus-EMP,True,-479.02061104949718,-992.00763748283521,0.41623910369565031,1000
regret_cny_per_month,capacity,TAIL-minus-EVENT-EMP,True,-1575.8873551933857,-3384.7954235075372,204.95684372748929,1000
regret_cny_per_month,capacity,TAIL-minus-GEV,False,-2030.0832843114783,-4286.6271720361574,282.18336111703087,1000
regret_cny_per_month,capacity,TAIL-minus-KDE,False,4730.6403963983548,2621.9729071158954,6983.6768468317941,1000
regret_cny_per_month,capacity,TAIL-minus-EMP,False,-4607.1535691315366,-7042.889473115446,-2260.4705060799065,1000
regret_cny_per_month,capacity,GEV-minus-KDE,True,6760.7236807098334,4680.3039065823714,9011.1654693666296,1000
regret_cny_per_month,capacity,GEV-minus-EMP,True,-2577.0702848200585,-3640.3068405952208,-1596.1690018622087,1000
regret_cny_per_month,contracted_maximum_demand,TAIL-minus-EVENT-EMP,True,-2341.4763130202896,-3138.9107022029871,-1547.8058040546257,1000
regret_cny_per_month,contracted_maximum_demand,TAIL-minus-GEV,False,-3820.6009291392529,-4709.3859180115323,-2967.1085341362318,1000
regret_cny_per_month,contracted_maximum_demand,TAIL-minus-KDE,False,-7750.4746145821327,-8748.5185646257723,-6724.5799408451967,1000
regret_cny_per_month,contracted_maximum_demand,TAIL-minus-EMP,False,-6257.5667007571219,-7388.6440417016856,-5198.5170964271974,1000
regret_cny_per_month,contracted_maximum_demand,GEV-minus-KDE,True,-3929.8736854428807,-4730.9926377451839,-3145.9486835904004,1000
regret_cny_per_month,contracted_maximum_demand,GEV-minus-EMP,True,-2436.965771617869,-3116.9947712555818,-1760.7444244998185,1000
regret_over_oracle_value,actual_maximum_demand,TAIL-minus-EVENT-EMP,True,-0.0001204835251062,-0.0002212210087314,-3.6924866474050673e-05,1000
regret_over_oracle_value,actual_maximum_demand,TAIL-minus-GEV,False,-0.00025215990811490002,-0.00037892067081760002,-0.0001411529551714,1000
regret_over_oracle_value,actual_maximum_demand,TAIL-minus-KDE,False,-8.8259831792078083e-05,-0.00017777829129849999,-9.0640857629736915e-06,1000
regret_over_oracle_value,actual_maximum_demand,TAIL-minus-EMP,False,-0.00034192342373889998,-0.00049429847232119995,-0.0002128176471816,1000
regret_over_oracle_value,actual_maximum_demand,GEV-minus-KDE,True,0.00016390007632290001,8.9896331654899163e-05,0.00025504005131360001,1000
regret_over_oracle_value,actual_maximum_demand,GEV-minus-EMP,True,-8.9763515623904252e-05,-0.00018684589815110001,9.160061903452374e-07,1000
regret_over_oracle_value,capacity,TAIL-minus-EVENT-EMP,True,-0.00031811623685850001,-0.00068907371367240005,3.9731762220656224e-05,1000
regret_over_oracle_value,capacity,TAIL-minus-GEV,False,-0.00040840563720949999,-0.00087983944435939996,3.9046163446148101e-05,1000
regret_over_oracle_value,capacity,TAIL-minus-KDE,False,0.0010015955257838001,0.00058085908524210003,0.0014679153573974001,1000
regret_over_oracle_value,capacity,TAIL-minus-EMP,False,-0.00092059262187559998,-0.0014180749632009,-0.00042755161443400002,1000
regret_over_oracle_value,capacity,GEV-minus-KDE,True,0.0014100011629933,0.00097879281399199992,0.0018583455956363,1000
regret_over_oracle_value,capacity,GEV-minus-EMP,True,-0.00051218698466610005,-0.00073502554844079998,-0.00030965425670870001,1000
regret_over_oracle_value,contracted_maximum_demand,TAIL-minus-EVENT-EMP,True,-0.00044304783413289997,-0.00059841082043930001,-0.000295588185717,1000
regret_over_oracle_value,contracted_maximum_demand,TAIL-minus-GEV,False,-0.00072349983969430005,-0.00089484590004440003,-0.00055698693123749996,1000
regret_over_oracle_value,contracted_maximum_demand,TAIL-minus-KDE,False,-0.0014673082139936,-0.0016556774986962999,-0.0012812608762014001,1000
regret_over_oracle_value,contracted_maximum_demand,TAIL-minus-EMP,False,-0.0011854573958479,-0.0013936895292554999,-0.00098054573393999991,1000
regret_over_oracle_value,contracted_maximum_demand,GEV-minus-KDE,True,-0.00074380837429929999,-0.00089004479550029996,-0.00059245280469219996,1000
regret_over_oracle_value,contracted_maximum_demand,GEV-minus-EMP,True,-0.00046195755615359999,-0.00059092572728769997,-0.00033328604381679998,1000
