replication_id,method_id,cell_id,oracle_mode,alpha,utilization,action_correct,d_mv,regret_cny_per_month,regret_over_oracle_value,oracle_margin_cny,oracle_best_value_cny
0,TAIL,BASE_ACTUAL_NEAR,actual_maximum_demand,1.05,0.62,True,2.3372263601949084,0,0,43036.075593709946,5336473.3736200482
0,TAIL,BASE_CAPACITY_NEAR,capacity,1.05,0.63,False,2.3749235595529377,42352.963282697841,0.0079999999999998007,42352.963282697841,5294120.4103373503
0,TAIL,STRESS_ACTUAL_CLEAR,actual_maximum_demand,1.2,0.40000000000000002,True,0.58251143701572217,0,0,318649.43913878035,5336473.3736200482
0,TAIL,STRESS_ACTUAL_NEAR,actual_maximum_demand,1.2,0.45000000000000001,True,33.735825841707282,0,0,4962.1142620984474,5336473.3736200482
0,TAIL,STRESS_CONTRACT_NEAR_LOW,contracted_maximum_demand,1.2,0.45500000000000002,False,13.699973992202224,11861.451992777176,0.0022276650706878,11861.451992777176,5324611.921627271
0,TAIL,STRESS_CONTRACT_CLEAR,contracted_maximum_demand,1.2,0.625,False,1.7995870029470118,60408.270812516101,0.0114494930664087,60408.270812516101,5276065.1028075321
0,TAIL,STRESS_CONTRACT_NEAR_HIGH,contracted_maximum_demand,1.2,0.63,False,6.0209408698895484,60408.270812516101,0.0114494930664087,18055.307529818267,5276065.1028075321
0,TAIL,STRESS_CAPACITY_NEAR,capacity,1.2,0.63500000000000001,True,4.6003728729016622,0,0,23630.679953153245,5252434.4228543788
0,TAIL,STRESS_CAPACITY_CLEAR,capacity,1.2,0.69999999999999996,True,0.2125911949566115,0,0,511356.73350391717,4764708.3693036148
0,EVENT-EMP,BASE_ACTUAL_NEAR,actual_maximum_demand,1.05,0.62,True,4.8223271059568429,0,0,43036.075593709946,5336473.3736200482
0,EVENT-EMP,BASE_CAPACITY_NEAR,capacity,1.05,0.63,False,4.9001065754078574,42352.963282697841,0.0079999999999998007,42352.963282697841,5294120.4103373503
0,EVENT-EMP,STRESS_ACTUAL_CLEAR,actual_maximum_demand,1.2,0.40000000000000002,True,0.65129263817460725,0,0,318649.43913878035,5336473.3736200482
0,EVENT-EMP,STRESS_ACTUAL_NEAR,actual_maximum_demand,1.2,0.45000000000000001,True,41.823711206075778,0,0,4962.1142620984474,5336473.3736200482
0,EVENT-EMP,STRESS_CONTRACT_NEAR_LOW,contracted_maximum_demand,1.2,0.45500000000000002,True,17.496511725202737,0,0,11861.451992777176,5324611.921627271
0,EVENT-EMP,STRESS_CONTRACT_CLEAR,contracted_maximum_demand,1.2,0.625,True,3.435523498324601,170.72551701124758,3.2358493249145098e-05,60408.270812516101,5276065.1028075321
0,EVENT-EMP,STRESS_CONTRACT_NEAR_HIGH,contracted_maximum_demand,1.2,0.63,True,11.49435054079326,170.72551701124758,3.2358493249145098e-05,18055.307529818267,5276065.1028075321
0,EVENT-EMP,STRESS_CAPACITY_NEAR,capacity,1.2,0.63500000000000001,False,8.7823978946429833,23801.405470164493,0.0045314997873366,23630.679953153245,5252434.4228543788
0,EVENT-EMP,STRESS_CAPACITY_CLEAR,capacity,1.2,0.69999999999999996,True,0.40584981143690252,0,0,511356.73350391717,4764708.3693036148
0,GEV,BASE_ACTUAL_NEAR,actual_maximum_demand,1.05,0.62,True,7.1052020269839415,0,0,43036.075593709946,5336473.3736200482
0,GEV,BASE_CAPACITY_NEAR,capacity,1.05,0.63,False,7.2198020596773747,42352.963282697841,0.0079999999999998007,42352.963282697841,5294120.4103373503
0,GEV,STRESS_ACTUAL_CLEAR,actual_maximum_demand,1.2,0.40000000000000002,True,0.95961258355984957,0,0,318649.43913878035,5336473.3736200482
0,GEV,STRESS_ACTUAL_NEAR,actual_maximum_demand,1.2,0.45000000000000001,True,61.622928330664763,0,0,4962.1142620984474,5336473.3736200482
0,GEV,STRESS_CONTRACT_NEAR_LOW,contracted_maximum_demand,1.2,0.45500000000000002,False,25.779306928701601,11861.451992777176,0.0022276650706878,11861.451992777176,5324611.921627271
0,GEV,STRESS_CONTRACT_CLEAR,contracted_maximum_demand,1.2,0.625,True,5.0618898278165396,13075.885022765024,0.0024783403479624998,60408.270812516101,5276065.1028075321
0,GEV,STRESS_CONTRACT_NEAR_HIGH,contracted_maximum_demand,1.2,0.63,True,16.935740974606365,13075.885022765024,0.0024783403479624998,18055.307529818267,5276065.1028075321
0,GEV,STRESS_CAPACITY_NEAR,capacity,1.2,0.63500000000000001,False,12.939958230066043,36706.564975918271,0.0069884861039294002,23630.679953153245,5252434.4228543788
0,GEV,STRESS_CAPACITY_CLEAR,capacity,1.2,0.69999999999999996,True,0.59797787240738387,0,0,511356.73350391717,4764708.3693036148
0,KDE,BASE_ACTUAL_NEAR,actual_maximum_demand,1.05,0.62,True,7.1051791669287203,0,0,43036.075593709946,5336473.3736200482
0,KDE,BASE_CAPACITY_NEAR,capacity,1.05,0.63,False,7.2197788309115847,42352.963282697841,0.0079999999999998007,42352.963282697841,5294120.4103373503
0,KDE,STRESS_ACTUAL_CLEAR,actual_maximum_demand,1.2,0.40000000000000002,True,0.95960949613227642,0,0,318649.43913878035,5336473.3736200482
0,KDE,STRESS_ACTUAL_NEAR,actual_maximum_demand,1.2,0.45000000000000001,True,61.622730066978633,0,0,4962.1142620984474,5336473.3736200482
0,KDE,STRESS_CONTRACT_NEAR_LOW,contracted_maximum_demand,1.2,0.45500000000000002,False,25.779223987164155,11861.451992777176,0.0022276650706878,11861.451992777176,5324611.921627271
0,KDE,STRESS_CONTRACT_CLEAR,contracted_maximum_demand,1.2,0.625,False,5.0618735418502085,60408.270812516101,0.0114494930664087,60408.270812516101,5276065.1028075321
0,KDE,STRESS_CONTRACT_NEAR_HIGH,contracted_maximum_demand,1.2,0.63,False,16.93568648608198,60408.270812516101,0.0114494930664087,18055.307529818267,5276065.1028075321
0,KDE,STRESS_CAPACITY_NEAR,capacity,1.2,0.63500000000000001,False,12.93991659744834,84038.950765669346,0.015999999999999799,23630.679953153245,5252434.4228543788
0,KDE,STRESS_CAPACITY_CLEAR,capacity,1.2,0.69999999999999996,True,0.59797594849204239,0,0,511356.73350391717,4764708.3693036148
0,EMP,BASE_ACTUAL_NEAR,actual_maximum_demand,1.05,0.62,True,7.1051791783385054,0,0,43036.075593709946,5336473.3736200482
0,EMP,BASE_CAPACITY_NEAR,capacity,1.05,0.63,False,7.2197788425053986,42352.963282697841,0.0079999999999998007,42352.963282697841,5294120.4103373503
0,EMP,STRESS_ACTUAL_CLEAR,actual_maximum_demand,1.2,0.40000000000000002,True,0.95960949767325621,0,0,318649.43913878035,5336473.3736200482
0,EMP,STRESS_ACTUAL_NEAR,actual_maximum_demand,1.2,0.45000000000000001,True,61.622730165934918,0,0,4962.1142620984474,5336473.3736200482
0,EMP,STRESS_CONTRACT_NEAR_LOW,contracted_maximum_demand,1.2,0.45500000000000002,False,25.77922402856148,11861.451992777176,0.0022276650706878,11861.451992777176,5324611.921627271
0,EMP,STRESS_CONTRACT_CLEAR,contracted_maximum_demand,1.2,0.625,True,5.0618735499787704,18916.50799029693,0.0035853439299357,60408.270812516101,5276065.1028075321
0,EMP,STRESS_CONTRACT_NEAR_HIGH,contracted_maximum_demand,1.2,0.63,True,16.935686513277993,18916.50799029693,0.0035853439299357,18055.307529818267,5276065.1028075321
0,EMP,STRESS_CAPACITY_NEAR,capacity,1.2,0.63500000000000001,False,12.939916618227784,42547.187943450175,0.0081004700902726004,23630.679953153245,5252434.4228543788
0,EMP,STRESS_CAPACITY_CLEAR,capacity,1.2,0.69999999999999996,True,0.59797594945229637,0,0,511356.73350391717,4764708.3693036148
1,TAIL,BASE_ACTUAL_NEAR,actual_maximum_demand,1.05,0.62,False,2.3375329796888482,43036.075593709946,0.0080645161290322006,43036.075593709946,5336473.3736200482
1,TAIL,BASE_CAPACITY_NEAR,capacity,1.05,0.63,True,2.3752351245225869,0,0,42352.963282697841,5294120.4103373503
1,TAIL,STRESS_ACTUAL_CLEAR,actual_maximum_demand,1.2,0.40000000000000002,True,0.31570193968822929,0,0,318649.43913878035,5336473.3736200482
