scenario_id,replication_id,method_id,q99_error,regret,accuracy,fit_status
RATE_SHIFT_5_TO_30,0,EMP,-0.1772692831613855,0.03367926443947567,0.5555555555555556,PASS
RATE_SHIFT_5_TO_30,0,EVENT-EMP,-0.1772692831613855,0.027983934903603475,0.5555555555555556,PASS
RATE_SHIFT_5_TO_30,0,GEV,-0.2467040022511946,0.031076936599012426,0.5555555555555556,PASS_LMOM_FINITE_MEAN
RATE_SHIFT_5_TO_30,0,KDE,-0.1378232889323258,0.018791850133722744,0.3333333333333333,PASS
RATE_SHIFT_5_TO_30,0,TAIL,-0.248814000523436,0.030712053790396723,0.5555555555555556,PASS
RATE_SHIFT_5_TO_30,1,EMP,-0.227787455458941,0.018791850133722744,0.3333333333333333,PASS
RATE_SHIFT_5_TO_30,1,EVENT-EMP,-0.227787455458941,0.01087077605329171,0.6666666666666666,PASS
RATE_SHIFT_5_TO_30,1,GEV,-0.0554927250555556,0.018791850133722744,0.3333333333333333,PASS_LMOM_FINITE_MEAN
RATE_SHIFT_5_TO_30,1,KDE,-0.1632539998795603,0.018791850133722744,0.3333333333333333,PASS
RATE_SHIFT_5_TO_30,1,TAIL,-0.0678760912411841,0.018791850133722744,0.3333333333333333,PASS
RATE_SHIFT_5_TO_30,2,EMP,-0.2105125055053572,0.018791850133722744,0.3333333333333333,PASS
RATE_SHIFT_5_TO_30,2,EVENT-EMP,-0.2105125055053572,0.030515002319928992,0.5555555555555556,PASS
RATE_SHIFT_5_TO_30,2,GEV,-0.1315144294244377,0.018791850133722744,0.3333333333333333,PASS_LMOM_FINITE_MEAN
RATE_SHIFT_5_TO_30,2,KDE,-0.1644006884142335,0.018791850133722744,0.3333333333333333,PASS
RATE_SHIFT_5_TO_30,2,TAIL,-0.1356472598240314,0.031770267348654756,0.5555555555555556,PASS
RATE_SHIFT_5_TO_30,3,EMP,-0.012298954318214,0.0054585168003894215,0.4444444444444444,PASS
RATE_SHIFT_5_TO_30,3,EVENT-EMP,-0.012298954318214,0.0054585168003894215,0.4444444444444444,PASS
RATE_SHIFT_5_TO_30,3,GEV,0.0159439584483234,0.0054585168003894215,0.4444444444444444,PASS_LMOM_FINITE_MEAN
RATE_SHIFT_5_TO_30,3,KDE,0.0455515334246702,0.0054585168003894215,0.4444444444444444,PASS
RATE_SHIFT_5_TO_30,3,TAIL,0.0028105861846008,0.0054585168003894215,0.4444444444444444,PASS
RATE_SHIFT_5_TO_30,4,EMP,0.0472390459207194,0.0054585168003894215,0.4444444444444444,PASS
RATE_SHIFT_5_TO_30,4,EVENT-EMP,0.0472390459207194,0.0054585168003894215,0.4444444444444444,PASS
RATE_SHIFT_5_TO_30,4,GEV,0.2148409976124702,0.0054585168003894215,0.4444444444444444,PASS_LMOM_FINITE_MEAN
RATE_SHIFT_5_TO_30,4,KDE,0.1125398576924827,0.0054585168003894215,0.4444444444444444,PASS
RATE_SHIFT_5_TO_30,4,TAIL,0.0695096806886939,0.0054585168003894215,0.4444444444444444,PASS
RATE_SHIFT_5_TO_30,5,EMP,-0.082197347269694,0.018791850133722744,0.3333333333333333,PASS
RATE_SHIFT_5_TO_30,5,EVENT-EMP,-0.082197347269694,0.02361138617513371,0.5555555555555556,PASS
RATE_SHIFT_5_TO_30,5,GEV,-0.0414745047942286,0.018791850133722744,0.3333333333333333,PASS_LMOM_FINITE_MEAN
RATE_SHIFT_5_TO_30,5,KDE,-0.0329008101731432,0.018791850133722744,0.3333333333333333,PASS
RATE_SHIFT_5_TO_30,5,TAIL,-0.1166401556348999,0.02635400359730158,0.5555555555555556,PASS
RATE_SHIFT_5_TO_30,6,EMP,-0.3579778734498995,0.028765113799255393,0.5555555555555556,PASS
RATE_SHIFT_5_TO_30,6,EVENT-EMP,-0.3579778734498995,0.022661919519108245,0.5555555555555556,PASS
RATE_SHIFT_5_TO_30,6,GEV,-0.2962029339120605,0.023943673612568002,0.5555555555555556,PASS_LMOM_FINITE_MEAN
RATE_SHIFT_5_TO_30,6,KDE,-0.3011523841525756,0.02225762052406287,0.5555555555555556,PASS
RATE_SHIFT_5_TO_30,6,TAIL,-0.2846354707519282,0.027229421754317647,0.5555555555555556,PASS
RATE_SHIFT_5_TO_30,7,EMP,0.1963649990950494,0.0054585168003894215,0.4444444444444444,PASS
RATE_SHIFT_5_TO_30,7,EVENT-EMP,0.1963649990950494,0.0054585168003894215,0.4444444444444444,PASS
RATE_SHIFT_5_TO_30,7,GEV,0.3689799695281937,0.0054585168003894215,0.4444444444444444,PASS_LMOM_FINITE_MEAN
RATE_SHIFT_5_TO_30,7,KDE,0.2675648858936393,0.0054585168003894215,0.4444444444444444,PASS
RATE_SHIFT_5_TO_30,7,TAIL,-0.0346595235780869,0.0054585168003894215,0.4444444444444444,PASS
RATE_SHIFT_5_TO_30,8,EMP,-0.3158101112340165,0.04587656037990532,0.5555555555555556,PASS
RATE_SHIFT_5_TO_30,8,EVENT-EMP,-0.3158101112340165,0.023614677773084347,0.5555555555555556,PASS
RATE_SHIFT_5_TO_30,8,GEV,-0.1852286345691867,0.03589199491227639,0.5555555555555556,PASS_LMOM_FINITE_MEAN
RATE_SHIFT_5_TO_30,8,KDE,-0.2521742350554117,0.018791850133722744,0.3333333333333333,PASS
RATE_SHIFT_5_TO_30,8,TAIL,-0.2089249372531224,0.031472532538451226,0.5555555555555556,PASS
RATE_SHIFT_5_TO_30,9,EMP,-0.2066816933419836,0.018791850133722744,0.3333333333333333,PASS
RATE_SHIFT_5_TO_30,9,EVENT-EMP,-0.2066816933419836,0.004738503244698745,0.6666666666666666,PASS
RATE_SHIFT_5_TO_30,9,GEV,-0.0756819427665812,0.018791850133722744,0.3333333333333333,PASS_LMOM_FINITE_MEAN
RATE_SHIFT_5_TO_30,9,KDE,-0.131702807344847,0.018791850133722744,0.3333333333333333,PASS
RATE_SHIFT_5_TO_30,9,TAIL,0.1606521429592723,0.0054585168003894215,0.4444444444444444,PASS
RATE_SHIFT_5_TO_30,10,EMP,-0.0737856259449105,0.018791850133722744,0.3333333333333333,PASS
RATE_SHIFT_5_TO_30,10,EVENT-EMP,-0.0737856259449105,0.020189002295669133,0.5555555555555556,PASS
RATE_SHIFT_5_TO_30,10,GEV,0.0259439941122098,0.018791850133722744,0.3333333333333333,PASS_LMOM_FINITE_MEAN
