replication_id,method_id,information_set,q99_relative_error,mean_relative_error,estimated_q99_kw,fit_status
0,TAIL,event_level,0.098621240878085895,-0.0094242998394954997,291863.02570970519,PASS
0,EVENT-EMP,event_level,-0.0459314854201293,-0.019444867362729198,253460.71333654967,PASS
0,GEV,monthly_maxima,0.0142976807074788,-0.028650008173322299,269461.37490024406,PASS_LMOM_FINITE_MEAN
0,KDE,monthly_maxima,0.0017749301271593001,-0.0286499159956803,266134.54328750481,PASS
0,EMP,monthly_maxima,-0.0459314854201293,-0.028649916041687502,253460.71333654967,PASS
1,TAIL,event_level,-0.044470220167292102,0.0094255362084226003,253848.91746203761,PASS
1,EVENT-EMP,event_level,-0.2263461866976394,0.0101417866501249,205531.20074558567,PASS
1,GEV,monthly_maxima,-0.17717957476661991,0.026676546071043201,218592.95086304465,PASS_LMOM_FINITE_MEAN
1,KDE,monthly_maxima,-0.17402061436059121,0.0266765460658853,219432.16979300432,PASS
1,EMP,monthly_maxima,-0.2263461866976394,0.026676546065883499,205531.20074558567,PASS
2,TAIL,event_level,-0.121067275896081,-0.033954045451440103,233499.9130794252,PASS
2,EVENT-EMP,event_level,-0.1716164993547121,-0.030963422411914,220070.85422187005,PASS
2,GEV,monthly_maxima,-0.091019992109271503,-0.042627032895900099,241482.36493277468,PASS_LMOM_FINITE_MEAN
2,KDE,monthly_maxima,-0.135025968940995,-0.042626984526296798,229791.60466934441,PASS
2,EMP,monthly_maxima,-0.1716164993547121,-0.042626984526296999,220070.85422187005,PASS
3,TAIL,event_level,-0.1158988970243031,-0.041570073657905403,234872.9601673602,PASS
3,EVENT-EMP,event_level,-0.1621114534074535,-0.046756829189460197,222595.99333847719,PASS
3,GEV,monthly_maxima,-0.040801397219376,-0.036403679221576897,254823.58800956508,PASS_LMOM_FINITE_MEAN
3,KDE,monthly_maxima,-0.12565239001999509,-0.036386840762236798,232281.81786003889,PASS
3,EMP,monthly_maxima,-0.1621114534074535,-0.036386840762236798,222595.99333847719,PASS
4,TAIL,event_level,0.2002019398269238,0.063852968492764103,318849.25995110604,PASS
4,EVENT-EMP,event_level,-0.098988735356141402,0.061333293875809103,239365.36461583531,PASS
4,GEV,monthly_maxima,0.15810527299933119,0.062903177630921098,307665.73273041035,PASS_LMOM_FINITE_MEAN
4,KDE,monthly_maxima,-0.0236883102882346,0.062905089409756795,259369.90219420992,PASS
4,EMP,monthly_maxima,-0.098988735356141402,0.062905089392900501,239365.36461583531,PASS
5,TAIL,event_level,-0.13082488910545309,0.00063240698618139996,230907.67618373569,PASS
5,EVENT-EMP,event_level,-0.2042089160560169,0.0013511883786891999,211412.2546975869,PASS
5,GEV,monthly_maxima,-0.057823081142671998,0.0077314059546748004,250301.5562231082,PASS_LMOM_FINITE_MEAN
