method_id,crps,qwcrps_090,q95_pinball,q99_pinball,q95_exceedance_brier,q99_exceedance_brier
K-BLOCK,0.025389555545143553,0.0017134496365760763,0.0089160664432279789,0.0072826338232024664,0.199375,0.214475
K-EMP,0.028011468106851609,0.0017134496365760763,0.0089160664432279789,0.0072826338232024664,0.199375,0.214475
K-GEV,0.028014582726442805,0.0018172595061350541,0.0095900109984911504,0.0076926496569553167,0.17124999999999999,0.18384999999999999
K-GTAIL,0.031016954505079689,0.0012038211631381782,0.0063220892091996536,0.0032117979727034006,0.086874999999999994,0.061349999999999995
K-KDE,0.026363382740786669,0.001290353757484606,0.0068700223507969236,0.0032615900171313644,0.11499999999999999,0.061349999999999995
K-POINT,0.034655423564455057,0.0038159916150475679,0.020099565582768111,0.020345952587260623,0.36812499999999998,0.398225
K-UGPD,0.02558367554883836,0.0014426550502156063,0.0077693101987042013,0.0042052526116315063,0.143125,0.061349999999999995
