comparison_type,one_to_one_matching,mode_left,mode_right,pair_rank_within_mode_pair,method_id,cell_left,cell_right,relative_margin_gap,left_action_accuracy,left_absolute_regret_mean_cny,left_absolute_regret_p95_cny,left_regret_over_oracle_mean,left_regret_over_capacity_mean,left_d_mv_mean,right_action_accuracy,right_absolute_regret_mean_cny,right_absolute_regret_p95_cny,right_regret_over_oracle_mean,right_regret_over_capacity_mean,right_d_mv_mean
nearest_gap_descriptive,False,actual_maximum_demand,capacity,1,EMP,A105_U600,A120_U660,0.0010489047574449,0.84,35576.48915746703,222353.05723416893,0.006666666666666671,0.0064,2.8030837392587036,0.678,81222.4454995319,284673.3741744391,0.016072581355226004,0.016072581355226004,2.705885785996269
nearest_gap_descriptive,False,actual_maximum_demand,capacity,1,EVENT-EMP,A105_U600,A120_U660,0.0010489047574449,0.864,30240.015783846975,222353.05723416893,0.005666666666666671,0.00544,2.6912377009271666,0.678,77161.23900957474,256882.7840653413,0.015268935622710051,0.015268935622710051,2.5985535063738743
nearest_gap_descriptive,False,actual_maximum_demand,capacity,1,GEV,A105_U600,A120_U660,0.0010489047574449,0.84,35576.48915746703,222353.05723416893,0.006666666666666671,0.0064,2.7715231969096537,0.706,71599.72963373385,265451.0940408017,0.014168404712180277,0.014168404712180277,2.668784776369813
nearest_gap_descriptive,False,actual_maximum_demand,capacity,1,KDE,A105_U600,A120_U660,0.0010489047574449,0.84,35576.48915746703,222353.05723416893,0.006666666666666671,0.0064,3.2735464347548158,0.795,48596.369077262665,244040.25279134963,0.009616419337772771,0.009616419337772771,3.120554524626681
nearest_gap_descriptive,False,actual_maximum_demand,capacity,1,TAIL,A105_U600,A120_U660,0.0010489047574449,0.858,31574.134127251986,222353.05723416893,0.005916666666666672,0.005679999999999999,2.5842772236265734,0.714,68851.93352098936,254252.40063322446,0.013624661214948174,0.013624661214948174,2.4682626067153226
nearest_gap_descriptive,False,actual_maximum_demand,capacity,2,EMP,A110_U600,A120_U660,0.0010489047574449,0.821,42325.888694992216,222353.05723416893,0.0079314344383733,0.0076141770608383645,2.7691789905154467,0.678,81222.4454995319,284673.3741744391,0.016072581355226004,0.016072581355226004,2.705885785996269
nearest_gap_descriptive,False,actual_maximum_demand,capacity,2,EVENT-EMP,A110_U600,A120_U660,0.0010489047574449,0.854,33786.149644893565,222353.05723416893,0.0063311755309994906,0.006077928509759508,2.659412487484833,0.678,77161.23900957474,256882.7840653413,0.015268935622710051,0.015268935622710051,2.5985535063738743
nearest_gap_descriptive,False,actual_maximum_demand,capacity,2,GEV,A110_U600,A120_U660,0.0010489047574449,0.829,39514.72303650222,222353.05723416893,0.007404651025120175,0.007108464984115363,2.735945018567104,0.706,71599.72963373385,265451.0940408017,0.014168404712180277,0.014168404712180277,2.668784776369813
nearest_gap_descriptive,False,actual_maximum_demand,capacity,2,KDE,A110_U600,A120_U660,0.0010489047574449,0.837,36616.05236104622,222353.05723416893,0.0068614700753594025,0.006587011272345023,3.2222618547658093,0.795,48596.369077262665,244040.25279134963,0.009616419337772771,0.009616419337772771,3.120554524626681
nearest_gap_descriptive,False,actual_maximum_demand,capacity,2,TAIL,A110_U600,A120_U660,0.0010489047574449,0.854,32982.61349783086,222353.05723416893,0.006180601155226373,0.0059333771090173135,2.5444403994401124,0.714,68851.93352098936,254252.40063322446,0.013624661214948174,0.013624661214948174,2.4682626067153226
nearest_gap_descriptive,False,actual_maximum_demand,capacity,3,EMP,A110_U400,A120_U700,0.005156827583849,1.0,0.0,0.0,0.0,0.0,1.0290983136996699,0.93,39067.16828874449,524303.2031585614,0.008199277953805668,0.008199277953805668,1.1778347410624381
nearest_gap_descriptive,False,actual_maximum_demand,capacity,3,EVENT-EMP,A110_U400,A120_U700,0.005156827583849,1.0,0.0,0.0,0.0,0.0,0.9826053012444151,0.935,35208.95089773252,519154.24307750794,0.0073895290474784,0.0073895290474784,1.1311144809424647
nearest_gap_descriptive,False,actual_maximum_demand,capacity,3,GEV,A110_U400,A120_U700,0.005156827583849,1.0,0.0,0.0,0.0,0.0,1.011840143712877,0.935,35750.760694274235,522680.70088704495,0.007503242155300969,0.007503242155300969,1.161685183570882
nearest_gap_descriptive,False,actual_maximum_demand,capacity,3,KDE,A110_U400,A120_U700,0.005156827583849,1.0,0.0,0.0,0.0,0.0,1.1772325900582445,0.969,16840.999055247543,0.0,0.0035345288210596043,0.0035345288210596043,1.3583343205048177
