prefix_replications,method_id,cell_id,metric,estimate,mcse,normal_ci95_low,normal_ci95_high,replications
200,EMP,STRESS_CONTRACT_NEAR_HIGH,action_accuracy,0.565,0.03514328173714403,0.49611916779519766,0.6338808322048023,200
400,EMP,STRESS_CONTRACT_NEAR_HIGH,action_accuracy,0.5875,0.024645036407943733,0.5391957286404303,0.6358042713595697,400
600,EMP,STRESS_CONTRACT_NEAR_HIGH,action_accuracy,0.5833333333333334,0.020143705568969716,0.5438516704181527,0.622814996248514,600
800,EMP,STRESS_CONTRACT_NEAR_HIGH,action_accuracy,0.56875,0.017520716773874803,0.5344093951232054,0.6030906048767946,800
1000,EMP,STRESS_CONTRACT_NEAR_HIGH,action_accuracy,0.567,0.015676630912181255,0.5362738034121247,0.5977261965878752,1000
100,EMP,STRESS_CONTRACT_NEAR_LOW,action_accuracy,0.59,0.04943110704237103,0.49311503019695274,0.6868849698030473,100
200,EMP,STRESS_CONTRACT_NEAR_LOW,action_accuracy,0.56,0.03518793763172075,0.4910316422418274,0.6289683577581727,200
400,EMP,STRESS_CONTRACT_NEAR_LOW,action_accuracy,0.6,0.024525573579398635,0.5519298757843787,0.6480701242156213,400
600,EMP,STRESS_CONTRACT_NEAR_LOW,action_accuracy,0.5833333333333334,0.020143705568969716,0.5438516704181527,0.622814996248514,600
800,EMP,STRESS_CONTRACT_NEAR_LOW,action_accuracy,0.57875,0.01746795519511007,0.5445128078175843,0.6129871921824157,800
1000,EMP,STRESS_CONTRACT_NEAR_LOW,action_accuracy,0.576,0.015635487471405182,0.5453544445560458,0.6066455554439542,1000
100,EVENT-EMP,BASE_ACTUAL_NEAR,action_accuracy,0.62,0.04878317312145634,0.5243849806819456,0.7156150193180544,100
200,EVENT-EMP,BASE_ACTUAL_NEAR,action_accuracy,0.65,0.0338114785302567,0.5837295020806968,0.7162704979193032,200
400,EVENT-EMP,BASE_ACTUAL_NEAR,action_accuracy,0.6675,0.02358495283014151,0.6212734924529226,0.7137265075470773,400
600,EVENT-EMP,BASE_ACTUAL_NEAR,action_accuracy,0.6716666666666666,0.019187614064331414,0.6340589431005771,0.7092743902327562,600
800,EVENT-EMP,BASE_ACTUAL_NEAR,action_accuracy,0.64,0.0169811793042534,0.6067168885636633,0.6732831114363367,800
1000,EVENT-EMP,BASE_ACTUAL_NEAR,action_accuracy,0.642,0.015167928865407633,0.6122708594238011,0.6717291405761989,1000
100,EVENT-EMP,BASE_CAPACITY_NEAR,action_accuracy,0.51,0.05024183937956913,0.4115259948160445,0.6084740051839554,100
200,EVENT-EMP,BASE_CAPACITY_NEAR,action_accuracy,0.515,0.035428106832977174,0.44556091060736475,0.5844390893926352,200
400,EVENT-EMP,BASE_CAPACITY_NEAR,action_accuracy,0.5075,0.02502849253543831,0.4584441546305409,0.556555845369459,400
600,EVENT-EMP,BASE_CAPACITY_NEAR,action_accuracy,0.5033333333333333,0.02042899216839903,0.4632925086832712,0.5433741579833954,600
800,EVENT-EMP,BASE_CAPACITY_NEAR,action_accuracy,0.52375,0.017668762076519278,0.48911922633002225,0.5583807736699778,800
1000,EVENT-EMP,BASE_CAPACITY_NEAR,action_accuracy,0.517,0.015810153729833274,0.4860120986895268,0.5479879013104733,1000
100,EVENT-EMP,STRESS_ACTUAL_CLEAR,action_accuracy,1.0,0.0,1.0,1.0,100
200,EVENT-EMP,STRESS_ACTUAL_CLEAR,action_accuracy,1.0,0.0,1.0,1.0,200
400,EVENT-EMP,STRESS_ACTUAL_CLEAR,action_accuracy,0.9975,0.0025,0.9926,1.0024,400
600,EVENT-EMP,STRESS_ACTUAL_CLEAR,action_accuracy,0.9983333333333333,0.0016666666666666668,0.9950666666666667,1.0016,600
800,EVENT-EMP,STRESS_ACTUAL_CLEAR,action_accuracy,0.99875,0.0012500000000000002,0.9963000000000001,1.0012,800
1000,EVENT-EMP,STRESS_ACTUAL_CLEAR,action_accuracy,0.998,0.0014135055705578234,0.9952295290817067,1.0007704709182934,1000
100,EVENT-EMP,STRESS_ACTUAL_NEAR,action_accuracy,0.47,0.05016135580465918,0.37168374262286796,0.568316257377132,100
200,EVENT-EMP,STRESS_ACTUAL_NEAR,action_accuracy,0.47,0.035380203419000424,0.40065480129875913,0.5393451987012408,200
400,EVENT-EMP,STRESS_ACTUAL_NEAR,action_accuracy,0.4625,0.024960808880119943,0.4135768145949649,0.5114231854050351,400
600,EVENT-EMP,STRESS_ACTUAL_NEAR,action_accuracy,0.48,0.02041309606154907,0.4399903317193638,0.5200096682806361,600
800,EVENT-EMP,STRESS_ACTUAL_NEAR,action_accuracy,0.47375,0.017664334342388892,0.43912790468891777,0.5083720953110822,800
1000,EVENT-EMP,STRESS_ACTUAL_NEAR,action_accuracy,0.474,0.0157978977580428,0.44303612039423607,0.5049638796057638,1000
100,EVENT-EMP,STRESS_CAPACITY_CLEAR,action_accuracy,0.95,0.02190429135575904,0.9070675889427122,0.9929324110572877,100
200,EVENT-EMP,STRESS_CAPACITY_CLEAR,action_accuracy,0.95,0.015449707678033378,0.9197185729510545,0.9802814270489454,200
